"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0"," -0.230222","  0.950211"," -0.216959"
"1"," -0.227811","  0.953597"," -0.217373"
"2"," -0.225858","  0.957123"," -0.217937"
"3"," -0.224429","  0.960695"," -0.218653"
"4"," -0.223578","  0.964226"," -0.219522"
"5"," -0.223342","  0.967638"," -0.220548"
"6"," -0.223741","  0.970867"," -0.221735"
"7"," -0.224777","  0.973860"," -0.223089"
"8"," -0.226432","  0.976571"," -0.224619"
"9"," -0.228673","  0.978955"," -0.226337"
"10"," -0.231449","  0.980966"," -0.228259"
"11"," -0.234698","  0.982551"," -0.230407"
"12"," -0.238350","  0.983655"," -0.232808"
"13"," -0.242333","  0.984220"," -0.235495"
"14"," -0.246575","  0.984191"," -0.238507"
"15"," -0.251017","  0.983522"," -0.241889"
"16"," -0.255610","  0.982181"," -0.245690"
"17"," -0.260325","  0.980151"," -0.249970"
"18"," -0.265160","  0.977438"," -0.254793"
"19"," -0.270141","  0.974075"," -0.260238"
"20"," -0.275330","  0.970125"," -0.266392"
"21"," -0.280817","  0.965681"," -0.273354"
"22"," -0.286727","  0.960863"," -0.281230"
"23"," -0.293209","  0.955816"," -0.290131"
"24"," -0.300435","  0.950693"," -0.300167"
"25"," -0.308585","  0.945650"," -0.311441"
"26"," -0.317847","  0.940825"," -0.324041"
"27"," -0.328403","  0.936330"," -0.338034"
"28"," -0.340420","  0.932236"," -0.353461"
"29"," -0.354048","  0.928572"," -0.370334"
"30"," -0.369412","  0.925318"," -0.388636"
"31"," -0.386604","  0.922411"," -0.408321"
"32"," -0.405690","  0.919738"," -0.429317"
"33"," -0.426700","  0.917144"," -0.451531"
"34"," -0.449629","  0.914429"," -0.474848"
"35"," -0.474443","  0.911363"," -0.499140"
"36"," -0.501071","  0.907689"," -0.524271"
"37"," -0.529412","  0.903142"," -0.550094"
"38"," -0.559337","  0.897463"," -0.576465"
"39"," -0.590698","  0.890420"," -0.603243"
"40"," -0.623335","  0.881828"," -0.630293"
"41"," -0.657081","  0.871559"," -0.657489"
"42"," -0.691778","  0.859546"," -0.684721"
"43"," -0.727276","  0.845788"," -0.711889"
"44"," -0.763443","  0.830331"," -0.738906"
"45"," -0.800161","  0.813255"," -0.765694"
"46"," -0.837333","  0.794654"," -0.792186"
"47"," -0.874870","  0.774617"," -0.818317"
"48"," -0.912694","  0.753205"," -0.844029"
"49"," -0.950724","  0.730444"," -0.869267"
"50"," -0.988877","  0.706315"," -0.893973"
"51"," -1.027058","  0.680752"," -0.918090"
"52"," -1.065159","  0.653650"," -0.941558"
