"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0"," -0.479615","  0.962407"," -0.627027"
"1"," -0.466737","  0.970270"," -0.615029"
"2"," -0.454152","  0.977719"," -0.603298"
"3"," -0.441967","  0.984586"," -0.591959"
"4"," -0.430268","  0.990724"," -0.581116"
"5"," -0.419111","  0.996019"," -0.570845"
"6"," -0.408529","  1.000386"," -0.561197"
"7"," -0.398525","  1.003780"," -0.552194"
"8"," -0.389071","  1.006187"," -0.543833"
"9"," -0.380114","  1.007631"," -0.536084"
"10"," -0.371574","  1.008163"," -0.528897"
"11"," -0.363350","  1.007868"," -0.522203"
"12"," -0.355323","  1.006850"," -0.515920"
"13"," -0.347359","  1.005238"," -0.509959"
"14"," -0.339317","  1.003174"," -0.504225"
"15"," -0.331053","  1.000811"," -0.498625"
"16"," -0.322430","  0.998310"," -0.493072"
"17"," -0.313318","  0.995827"," -0.487490"
"18"," -0.303607","  0.993516"," -0.481815"
"19"," -0.293208","  0.991515"," -0.476002"
"20"," -0.282059","  0.989944"," -0.470023"
"21"," -0.270130","  0.988899"," -0.463871"
"22"," -0.257423","  0.988447"," -0.457559"
"23"," -0.243973","  0.988624"," -0.451123"
"24"," -0.229853","  0.989433"," -0.444618"
"25"," -0.215168","  0.990844"," -0.438121"
"26"," -0.200055","  0.992795"," -0.431732"
"27"," -0.184680","  0.995197"," -0.425571"
"28"," -0.169232","  0.997938"," -0.419781"
"29"," -0.153923","  1.000891"," -0.414523"
"30"," -0.138978","  1.003918"," -0.409983"
"31"," -0.124636","  1.006883"," -0.406363"
"32"," -0.111140","  1.009653"," -0.403879"
"33"," -0.098737","  1.012105"," -0.402758"
"34"," -0.087672","  1.014130"," -0.403230"
"35"," -0.078186","  1.015633"," -0.405521"
"36"," -0.070513","  1.016533"," -0.409848"
"37"," -0.064877","  1.016766"," -0.416413"
"38"," -0.061493","  1.016279"," -0.425398"
"39"," -0.060566","  1.015037"," -0.436960"
"40"," -0.062290","  1.013015"," -0.451233"
"41"," -0.066851","  1.010202"," -0.468323"
"42"," -0.074424","  1.006603"," -0.488313"
"43"," -0.085176","  1.002236"," -0.511261"
"44"," -0.099269","  0.997134"," -0.537202"
"45"," -0.116857","  0.991336"," -0.566153"
"46"," -0.138090","  0.984882"," -0.598110"
