"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0"," -0.227591","  0.822159"," -0.365682"
"1"," -0.229061","  0.824214"," -0.368167"
"2"," -0.230698","  0.826042"," -0.370930"
"3"," -0.232474","  0.827568"," -0.373945"
"4"," -0.234361","  0.828733"," -0.377183"
"5"," -0.236338","  0.829505"," -0.380609"
"6"," -0.238394","  0.829869"," -0.384189"
"7"," -0.240529","  0.829833"," -0.387893"
"8"," -0.242752","  0.829417"," -0.391695"
"9"," -0.245086","  0.828656"," -0.395578"
"10"," -0.247565","  0.827590"," -0.399535"
"11"," -0.250233","  0.826262"," -0.403570"
"12"," -0.253145","  0.824708"," -0.407698"
"13"," -0.256364","  0.822959"," -0.411949"
"14"," -0.259963","  0.821031"," -0.416365"
"15"," -0.264018","  0.818928"," -0.421001"
"16"," -0.268613","  0.816638"," -0.425924"
"17"," -0.273836","  0.814134"," -0.431216"
"18"," -0.279775","  0.811373"," -0.436966"
"19"," -0.286520","  0.808304"," -0.443271"
"20"," -0.294157","  0.804874"," -0.450228"
"21"," -0.302765","  0.801030"," -0.457934"
"22"," -0.312416","  0.796733"," -0.466474"
"23"," -0.323170","  0.791955"," -0.475922"
"24"," -0.335080","  0.786689"," -0.486334"
"25"," -0.348184","  0.780943"," -0.497751"
"26"," -0.362513","  0.774740"," -0.510196"
"27"," -0.378090","  0.768114"," -0.523672"
"28"," -0.394929","  0.761102"," -0.538167"
"29"," -0.413038","  0.753741"," -0.553653"
"30"," -0.432414","  0.746062"," -0.570087"
"31"," -0.453044","  0.738079"," -0.587413"
"32"," -0.474899","  0.729791"," -0.605560"
"33"," -0.497934","  0.721177"," -0.624451"
"34"," -0.522086","  0.712189"," -0.643997"
"35"," -0.547268","  0.702757"," -0.664106"
"36"," -0.573377","  0.692788"," -0.684686"
"37"," -0.600292","  0.682168"," -0.705644"
"38"," -0.627880","  0.670775"," -0.726895"
"39"," -0.656003","  0.658478"," -0.748362"
"40"," -0.684523","  0.645150"," -0.769983"
"41"," -0.713312","  0.630675"," -0.791708"
"42"," -0.742256","  0.614955"," -0.813502"
"43"," -0.771258","  0.597911"," -0.835341"
"44"," -0.800246","  0.579490"," -0.857214"
"45"," -0.829173","  0.559661"," -0.879113"
"46"," -0.858018","  0.538413"," -0.901035"
"47"," -0.886779","  0.515749"," -0.922976"
"48"," -0.915471","  0.491678"," -0.944927"
"49"," -0.944119","  0.466213"," -0.966867"
"50"," -0.972748","  0.439369"," -0.988762"
