"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0"," -0.532170","  0.703282"," -0.379694"
"1"," -0.529409","  0.705359"," -0.379524"
"2"," -0.526798","  0.707471"," -0.379498"
"3"," -0.524391","  0.709542"," -0.379630"
"4"," -0.522223","  0.711498"," -0.379928"
"5"," -0.520310","  0.713274"," -0.380391"
"6"," -0.518649","  0.714818"," -0.381011"
"7"," -0.517217","  0.716088"," -0.381773"
"8"," -0.515976","  0.717063"," -0.382657"
"9"," -0.514879","  0.717734"," -0.383638"
"10"," -0.513872","  0.718114"," -0.384694"
"11"," -0.512905","  0.718227"," -0.385799"
"12"," -0.511929","  0.718111"," -0.386931"
"13"," -0.510899","  0.717813"," -0.388070"
"14"," -0.509777","  0.717376"," -0.389200"
"15"," -0.508526","  0.716845"," -0.390305"
"16"," -0.507116","  0.716253"," -0.391377"
"17"," -0.505529","  0.715626"," -0.392411"
"18"," -0.503758","  0.714974"," -0.393409"
"19"," -0.501815","  0.714298"," -0.394379"
"20"," -0.499732","  0.713585"," -0.395340"
"21"," -0.497559","  0.712811"," -0.396317"
"22"," -0.495363","  0.711946"," -0.397343"
"23"," -0.493224","  0.710955"," -0.398458"
"24"," -0.491231","  0.709800"," -0.399707"
"25"," -0.489476","  0.708449"," -0.401138"
"26"," -0.488057","  0.706871"," -0.402802"
"27"," -0.487069","  0.705041"," -0.404751"
"28"," -0.486611","  0.702939"," -0.407036"
"29"," -0.486778","  0.700553"," -0.409708"
"30"," -0.487658","  0.697876"," -0.412811"
"31"," -0.489326","  0.694905"," -0.416383"
"32"," -0.491842","  0.691641"," -0.420455"
"33"," -0.495248","  0.688090"," -0.425047"
"34"," -0.499562","  0.684257"," -0.430169"
"35"," -0.504784","  0.680157"," -0.435820"
"36"," -0.510901","  0.675807"," -0.441987"
"37"," -0.517884","  0.671227"," -0.448652"
"38"," -0.525700","  0.666442"," -0.455783"
"39"," -0.534305","  0.661473"," -0.463346"
"40"," -0.543652","  0.656340"," -0.471298"
"41"," -0.553687","  0.651057"," -0.479594"
"42"," -0.564355","  0.645639"," -0.488186"
"43"," -0.575600","  0.640098"," -0.497032"
"44"," -0.587374","  0.634453"," -0.506093"
"45"," -0.599637","  0.628726"," -0.515339"
"46"," -0.612363","  0.622944"," -0.524752"
"47"," -0.625537","  0.617135"," -0.534325"
"48"," -0.639151","  0.611325"," -0.544063"
"49"," -0.653204","  0.605527"," -0.553983"
"50"," -0.667689","  0.599739"," -0.564108"
"51"," -0.682594","  0.593938"," -0.574470"
"52"," -0.697893","  0.588081"," -0.585103"
"53"," -0.713555","  0.582103"," -0.596040"
"54"," -0.729543","  0.575918"," -0.607311"
"55"," -0.745827","  0.569416"," -0.618940"
"56"," -0.762397","  0.562456"," -0.630947"
"57"," -0.779271","  0.554855"," -0.643345"
"58"," -0.796512","  0.546377"," -0.656144"
"59"," -0.814236","  0.536729"," -0.669354"
"60"," -0.832620","  0.525560"," -0.682988"
"61"," -0.851897","  0.512479"," -0.697062"
"62"," -0.872342","  0.497076"," -0.711596"
"63"," -0.894234","  0.478962"," -0.726602"
"64"," -0.917816","  0.457823"," -0.742075"
"65"," -0.943240","  0.433460"," -0.757978"
"66"," -0.970539","  0.405820"," -0.774234"
"67"," -0.999608","  0.374994"," -0.790721"
"68"," -1.030224","  0.341186"," -0.807283"
"69"," -1.062066","  0.304673"," -0.823737"
"70"," -1.094751","  0.265761"," -0.839895"
"71"," -1.127869","  0.224748"," -0.855577"
"72"," -1.161012","  0.181902"," -0.870620"
"73"," -1.193799","  0.137450"," -0.884895"
"74"," -1.225891","  0.091577"," -0.898303"
"75"," -1.257003","  0.044433"," -0.910782"
"76"," -1.286903"," -0.003852"," -0.922298"
"77"," -1.315412"," -0.053156"," -0.932846"
"78"," -1.342400"," -0.103353"," -0.942440"
"79"," -1.367773"," -0.154295"," -0.951109"
"80"," -1.391463"," -0.205814"," -0.958891"
"81"," -1.413418"," -0.257713"," -0.965827"
"82"," -1.433589"," -0.309768"," -0.971958"
"83"," -1.451925"," -0.361743"," -0.977317"
"84"," -1.468364"," -0.413391"," -0.981933"
"85"," -1.482833"," -0.464476"," -0.985819"
"86"," -1.495248"," -0.514784"," -0.988971"
"87"," -1.505520"," -0.564139"," -0.991367"
"88"," -1.513563"," -0.612419"," -0.992966"
"89"," -1.519303"," -0.659561"," -0.993715"
"90"," -1.522696"," -0.705572"," -0.993552"
"91"," -1.523732"," -0.750522"," -0.992425"
"92"," -1.522453"," -0.794539"," -0.990297"
"93"," -1.518955"," -0.837797"," -0.987161"
"94"," -1.513386"," -0.880499"," -0.983044"
"95"," -1.505944"," -0.922851"," -0.978010"
"96"," -1.496854"," -0.965037"," -0.972155"
"97"," -1.486353"," -1.007195"," -0.965590"
"98"," -1.474666"," -1.049394"," -0.958433"
"99"," -1.461981"," -1.091629"," -0.950782"
"100"," -1.448434"," -1.133816"," -0.942707"
"101"," -1.434100"," -1.175799"," -0.934235"
"102"," -1.418991"," -1.217356"," -0.925350"
"103"," -1.403063"," -1.258216"," -0.915995"
"104"," -1.386228"," -1.298059"," -0.906080"
"105"," -1.368370"," -1.336529"," -0.895497"
"106"," -1.349366"," -1.373238"," -0.884131"
"107"," -1.329097"," -1.407778"," -0.871875"
"108"," -1.307472"," -1.439733"," -0.858644"
"109"," -1.284434"," -1.468691"," -0.844387"
"110"," -1.259970"," -1.494263"," -0.829093"
"111"," -1.234119"," -1.516088"," -0.812796"
"112"," -1.206972"," -1.533854"," -0.795580"
"113"," -1.178669"," -1.547302"," -0.777573"
"114"," -1.149396"," -1.556239"," -0.758944"
"115"," -1.119383"," -1.560540"," -0.739900"
"116"," -1.088889"," -1.560157"," -0.720674"
"117"," -1.058199"," -1.555117"," -0.701515"
"118"," -1.027610"," -1.545515"," -0.682679"
"119"," -0.997421"," -1.531519"," -0.664415"
"120"," -0.967923"," -1.513358"," -0.646952"
