"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0","  0.016190","  1.439749"," -0.384254"
"1","  0.022817","  1.437447"," -0.372230"
"2","  0.029177","  1.435198"," -0.360377"
"3","  0.035233","  1.433103"," -0.348860"
"4","  0.040946","  1.431274"," -0.337851"
"5","  0.046274","  1.429822"," -0.327522"
"6","  0.051169","  1.428853"," -0.318050"
"7","  0.055568","  1.428463"," -0.309614"
"8","  0.059392","  1.428731"," -0.302399"
"9","  0.062543","  1.429709"," -0.296594"
"10","  0.064898","  1.431422"," -0.292394"
"11","  0.066306","  1.433859"," -0.290000"
"12","  0.066589","  1.436976"," -0.289619"
"13","  0.065538","  1.440690"," -0.291466"
"14","  0.062915","  1.444883"," -0.295760"
"15","  0.058454","  1.449396"," -0.302720"
"16","  0.051869","  1.454040"," -0.312567"
"17","  0.042850","  1.458598"," -0.325514"
"18","  0.031083","  1.462828"," -0.341764"
"19","  0.016247","  1.466477"," -0.361501"
"20"," -0.001966","  1.469283"," -0.384885"
"21"," -0.023847","  1.470982"," -0.412047"
"22"," -0.049661","  1.471317"," -0.443079"
"23"," -0.079630","  1.470036"," -0.478035"
"24"," -0.113928","  1.466901"," -0.516921"
"25"," -0.152675","  1.461686"," -0.559699"
"26"," -0.195922","  1.454185"," -0.606277"
"27"," -0.243654","  1.444209"," -0.656513"
"28"," -0.295779","  1.431597"," -0.710218"
"29"," -0.352134","  1.416217"," -0.767154"
"30"," -0.412479","  1.397976"," -0.827045"
"31"," -0.476510","  1.376829"," -0.889582"
"32"," -0.543859","  1.352788"," -0.954428"
"33"," -0.614104","  1.325925"," -1.021227"
"34"," -0.686782","  1.296382"," -1.089614"
"35"," -0.761401","  1.264362"," -1.159214"
"36"," -0.837447","  1.230132"," -1.229647"
"37"," -0.914405","  1.194008"," -1.300537"
"38"," -0.991766","  1.156343"," -1.371505"
"39"," -1.069043","  1.117511"," -1.442175"
"40"," -1.145782","  1.077890"," -1.512171"
"41"," -1.221571","  1.037840"," -1.581119"
"42"," -1.296047","  0.997689"," -1.648639"
