"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0"," -0.583785","  0.586625"," -0.345947"
"1"," -0.581982","  0.584182"," -0.346488"
"2"," -0.580295","  0.582011"," -0.347013"
"3"," -0.578757","  0.580188"," -0.347506"
"4"," -0.577392","  0.578770"," -0.347952"
"5"," -0.576221","  0.577792"," -0.348341"
"6"," -0.575258","  0.577267"," -0.348667"
"7"," -0.574507","  0.577189"," -0.348930"
"8"," -0.573973","  0.577536"," -0.349132"
"9"," -0.573649","  0.578273"," -0.349283"
"10"," -0.573528","  0.579359"," -0.349394"
"11"," -0.573599","  0.580741"," -0.349481"
"12"," -0.573846","  0.582365"," -0.349563"
"13"," -0.574254","  0.584170"," -0.349663"
"14"," -0.574808","  0.586091"," -0.349805"
"15"," -0.575492","  0.588062"," -0.350013"
"16"," -0.576292","  0.590016"," -0.350313"
"17"," -0.577196","  0.591888"," -0.350727"
"18"," -0.578194","  0.593611"," -0.351279"
"19"," -0.579276","  0.595127"," -0.351984"
"20"," -0.580438","  0.596380"," -0.352858"
"21"," -0.581677","  0.597322"," -0.353910"
"22"," -0.582997","  0.597911"," -0.355147"
"23"," -0.584403","  0.598118"," -0.356572"
"24"," -0.585910","  0.597922"," -0.358187"
"25"," -0.587535","  0.597312"," -0.359991"
"26"," -0.589297","  0.596289"," -0.361979"
"27"," -0.591218","  0.594863"," -0.364149"
"28"," -0.593320","  0.593049"," -0.366496"
"29"," -0.595621","  0.590872"," -0.369015"
"30"," -0.598139","  0.588361"," -0.371702"
"31"," -0.600888","  0.585546"," -0.374553"
"32"," -0.603879","  0.582462"," -0.377561"
"33"," -0.607117","  0.579145"," -0.380720"
"34"," -0.610606","  0.575634"," -0.384018"
"35"," -0.614347","  0.571970"," -0.387441"
"36"," -0.618335","  0.568196"," -0.390970"
"37"," -0.622568","  0.564357"," -0.394585"
"38"," -0.627040","  0.560494"," -0.398263"
"39"," -0.631746","  0.556644"," -0.401981"
"40"," -0.636681","  0.552838"," -0.405722"
"41"," -0.641842","  0.549094"," -0.409472"
"42"," -0.647229","  0.545425"," -0.413226"
"43"," -0.652844","  0.541834"," -0.416983"
"44"," -0.658692","  0.538319"," -0.420753"
"45"," -0.664781","  0.534873"," -0.424550"
"46"," -0.671123","  0.531484"," -0.428397"
"47"," -0.677729","  0.528134"," -0.432317"
"48"," -0.684616","  0.524800"," -0.436341"
"49"," -0.691797","  0.521452"," -0.440499"
"50"," -0.699288","  0.518056"," -0.444824"
"51"," -0.707100","  0.514572"," -0.449345"
"52"," -0.715241","  0.510962"," -0.454091"
"53"," -0.723715","  0.507189"," -0.459085"
"54"," -0.732519","  0.503222"," -0.464346"
"55"," -0.741648","  0.499036"," -0.469887"
"56"," -0.751089","  0.494611"," -0.475715"
"57"," -0.760825","  0.489933"," -0.481829"
"58"," -0.770837","  0.484990"," -0.488225"
"59"," -0.781100","  0.479767"," -0.494890"
"60"," -0.791589","  0.474251"," -0.501804"
"61"," -0.802276","  0.468423"," -0.508944"
"62"," -0.813135","  0.462259"," -0.516280"
"63"," -0.824143","  0.455731"," -0.523780"
"64"," -0.835282","  0.448810"," -0.531412"
"65"," -0.846542","  0.441461"," -0.539142"
"66"," -0.857920","  0.433649"," -0.546940"
"67"," -0.869421","  0.425340"," -0.554782"
"68"," -0.881054","  0.416503"," -0.562646"
"69"," -0.892833","  0.407112"," -0.570515"
"70"," -0.904772","  0.397147"," -0.578378"
"71"," -0.916885","  0.386595"," -0.586229"
"72"," -0.929182","  0.375449"," -0.594064"
"73"," -0.941669","  0.363711"," -0.601884"
"74"," -0.954348","  0.351382"," -0.609692"
"75"," -0.967217","  0.338468"," -0.617494"
"76"," -0.980269","  0.324972"," -0.625297"
