"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0"," -1.063427","  1.120227"," -0.879140"
"1"," -1.105571","  1.091427"," -0.903177"
"2"," -1.149642","  1.062008"," -0.928572"
"3"," -1.195934","  1.032214"," -0.955254"
"4"," -1.244742","  1.002213"," -0.983130"
"5"," -1.296353","  0.972078"," -1.012087"
"6"," -1.351026","  0.941771"," -1.041991"
"7"," -1.408972","  0.911150"," -1.072699"
"8"," -1.470347","  0.879967"," -1.104061"
"9"," -1.535229","  0.847895"," -1.135923"
"10"," -1.603615","  0.814546"," -1.168133"
"11"," -1.675410","  0.779509"," -1.200539"
"12"," -1.750419","  0.742370"," -1.232992"
"13"," -1.828350","  0.702743"," -1.265345"
"14"," -1.908810","  0.660289"," -1.297447"
"15"," -1.991308","  0.614730"," -1.329143"
"16"," -2.075265","  0.565861"," -1.360269"
"17"," -2.160021","  0.513559"," -1.390653"
"18"," -2.244855","  0.457789"," -1.420109"
"19"," -2.328996","  0.398605"," -1.448444"
"20"," -2.411647","  0.336146"," -1.475458"
"21"," -2.492004","  0.270635"," -1.500947"
"22"," -2.569276","  0.202359"," -1.524715"
"23"," -2.642707","  0.131669"," -1.546574"
"24"," -2.711591","  0.058956"," -1.566356"
"25"," -2.775285"," -0.015355"," -1.583917"
"26"," -2.833226"," -0.090832"," -1.599145"
"27"," -2.884939"," -0.167045"," -1.611961"
"28"," -2.930043"," -0.243584"," -1.622328"
"29"," -2.968252"," -0.320071"," -1.630248"
"30"," -2.999385"," -0.396166"," -1.635763"
"31"," -3.023357"," -0.471575"," -1.638957"
"32"," -3.040178"," -0.546050"," -1.639946"
"33"," -3.049945"," -0.619386"," -1.638873"
"34"," -3.052835"," -0.691421"," -1.635905"
"35"," -3.049092"," -0.762026"," -1.631220"
"36"," -3.039018"," -0.831102"," -1.625003"
"37"," -3.022963"," -0.898569"," -1.617436"
"38"," -3.001313"," -0.964365"," -1.608690"
"39"," -2.974483"," -1.028433"," -1.598925"
"40"," -2.942910"," -1.090718"," -1.588282"
"41"," -2.907050"," -1.151158"," -1.576878"
"42"," -2.867379"," -1.209679"," -1.564814"
"43"," -2.824391"," -1.266189"," -1.552168"
"44"," -2.778602"," -1.320576"," -1.539001"
"45"," -2.730548"," -1.372711"," -1.525360"
"46"," -2.680783"," -1.422451"," -1.511287"
"47"," -2.629878"," -1.469644"," -1.496820"
"48"," -2.578411"," -1.514147"," -1.482005"
"49"," -2.526962"," -1.555833"," -1.466900"
"50"," -2.476101"," -1.594604"," -1.451584"
"51"," -2.426380"," -1.630406"," -1.436162"
"52"," -2.378326"," -1.663227"," -1.420766"
"53"," -2.332429"," -1.693104"," -1.405563"
