"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0"," -0.505604","  0.917061"," -0.889268"
"1"," -0.487970","  0.922409"," -0.882702"
"2"," -0.470778","  0.927132"," -0.876577"
"3"," -0.454204","  0.931035"," -0.870865"
"4"," -0.438423","  0.933971"," -0.865545"
"5"," -0.423602","  0.935847"," -0.860604"
"6"," -0.409897","  0.936620"," -0.856048"
"7"," -0.397448","  0.936300"," -0.851894"
"8"," -0.386376","  0.934938"," -0.848180"
"9"," -0.376777","  0.932622"," -0.844957"
"10"," -0.368727","  0.929468"," -0.842293"
"11"," -0.362281","  0.925615"," -0.840268"
"12"," -0.357476","  0.921216"," -0.838977"
"13"," -0.354334","  0.916428"," -0.838529"
"14"," -0.352872","  0.911409"," -0.839041"
"15"," -0.353105","  0.906305"," -0.840647"
"16"," -0.355053","  0.901241"," -0.843490"
"17"," -0.358747","  0.896313"," -0.847728"
"18"," -0.364233","  0.891580"," -0.853528"
"19"," -0.371579","  0.887055"," -0.861069"
"20"," -0.380873","  0.882706"," -0.870533"
"21"," -0.392222","  0.878454"," -0.882105"
"22"," -0.405758","  0.874179"," -0.895956"
"23"," -0.421625","  0.869724"," -0.912243"
"24"," -0.439986","  0.864897"," -0.931094"
"25"," -0.461013","  0.859474"," -0.952609"
"26"," -0.484884","  0.853202"," -0.976846"
"27"," -0.511778","  0.845796"," -1.003823"
"28"," -0.541867","  0.836939"," -1.033516"
"29"," -0.575307","  0.826282"," -1.065854"
"30"," -0.612232","  0.813441"," -1.100724"
"31"," -0.652738","  0.798007"," -1.137966"
"32"," -0.696878","  0.779542"," -1.177378"
"33"," -0.744652","  0.757599"," -1.218714"
"34"," -0.795994","  0.731727"," -1.261685"
"35"," -0.850768","  0.701486"," -1.305962"
"36"," -0.908759","  0.666465"," -1.351180"
"37"," -0.969668","  0.626299"," -1.396936"
"38"," -1.033116","  0.580685"," -1.442799"
"39"," -1.098639","  0.529399"," -1.488314"
