"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0"," -0.373899","  1.381526"," -0.289291"
"1"," -0.368678","  1.380126"," -0.299707"
"2"," -0.363700","  1.378742"," -0.310750"
"3"," -0.358985","  1.377376"," -0.322451"
"4"," -0.354568","  1.376039"," -0.334858"
"5"," -0.350511","  1.374748"," -0.348030"
"6"," -0.346899","  1.373523"," -0.362040"
"7"," -0.343851","  1.372382"," -0.376982"
"8"," -0.341516","  1.371333"," -0.392964"
"9"," -0.340071","  1.370372"," -0.410113"
"10"," -0.339727","  1.369470"," -0.428567"
"11"," -0.340717","  1.368578"," -0.448481"
"12"," -0.343299","  1.367617"," -0.470016"
"13"," -0.347752","  1.366480"," -0.493341"
"14"," -0.354371","  1.365029"," -0.518630"
"15"," -0.363468","  1.363097"," -0.546057"
"16"," -0.375367","  1.360489"," -0.575796"
"17"," -0.390404","  1.356981"," -0.608016"
"18"," -0.408923","  1.352327"," -0.642880"
"19"," -0.431275","  1.346260"," -0.680540"
"20"," -0.457814","  1.338493"," -0.721133"
"21"," -0.488894","  1.328726"," -0.764785"
"22"," -0.524865","  1.316648"," -0.811599"
"23"," -0.566069","  1.301941"," -0.861658"
"24"," -0.612835","  1.284288"," -0.915018"
"25"," -0.665469","  1.263379"," -0.971701"
"26"," -0.724252","  1.238912"," -1.031688"
"27"," -0.789422","  1.210598"," -1.094918"
"28"," -0.861170","  1.178164"," -1.161281"
"29"," -0.939626","  1.141350"," -1.230612"
"30"," -1.024846","  1.099909"," -1.302695"
"31"," -1.116800","  1.053610"," -1.377253"
"32"," -1.215359","  1.002235"," -1.453948"
"33"," -1.320279","  0.945585"," -1.532374"
"34"," -1.431193","  0.883473"," -1.612059"
"35"," -1.547596","  0.815736"," -1.692461"
"36"," -1.668842","  0.742229"," -1.772968"
"37"," -1.794142","  0.662831"," -1.852905"
"38"," -1.922561","  0.577448"," -1.931542"
"39"," -2.053030","  0.486027"," -2.008101"
"40"," -2.184360","  0.388559"," -2.081774"
"41"," -2.315260","  0.285098"," -2.151741"
"42"," -2.444365","  0.175776"," -2.217191"
"43"," -2.570270","  0.060824"," -2.277343"
"44"," -2.691562"," -0.059412"," -2.331470"
"45"," -2.806862"," -0.184451"," -2.378918"
"46"," -2.914860"," -0.313676"," -2.419124"
"47"," -3.014348"," -0.446330"," -2.451632"
"48"," -3.104253"," -0.581530"," -2.476108"
"49"," -3.183661"," -0.718284"," -2.492348"
"50"," -3.251839"," -0.855516"," -2.500285"
"51"," -3.308250"," -0.992089"," -2.499990"
"52"," -3.352567"," -1.126833"," -2.491675"
"53"," -3.384673"," -1.258576"," -2.475681"
"54"," -3.404663"," -1.386176"," -2.452475"
"55"," -3.412837"," -1.508557"," -2.422634"
"56"," -3.409684"," -1.624740"," -2.386830"
"57"," -3.395856"," -1.733885"," -2.345809"
