"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0"," -0.089534","  1.024887"," -0.149587"
"1"," -0.115725","  1.030775"," -0.170411"
"2"," -0.142735","  1.036972"," -0.191992"
"3"," -0.170484","  1.043452"," -0.214312"
"4"," -0.198896","  1.050173"," -0.237352"
"5"," -0.227902","  1.057076"," -0.261096"
"6"," -0.257442","  1.064086"," -0.285524"
"7"," -0.287460","  1.071120"," -0.310617"
"8"," -0.317908","  1.078086"," -0.336347"
"9"," -0.348739","  1.084892"," -0.362683"
"10"," -0.379910","  1.091442"," -0.389582"
"11"," -0.411373","  1.097643"," -0.416995"
"12"," -0.443081","  1.103401"," -0.444858"
"13"," -0.474980","  1.108626"," -0.473097"
"14"," -0.507012","  1.113232"," -0.501628"
"15"," -0.539114","  1.117135"," -0.530356"
"16"," -0.571217","  1.120258"," -0.559175"
"17"," -0.603250","  1.122529"," -0.587976"
"18"," -0.635136","  1.123890"," -0.616643"
"19"," -0.666795","  1.124290"," -0.645059"
"20"," -0.698144","  1.123698"," -0.673104"
"21"," -0.729097","  1.122102"," -0.700662"
"22"," -0.759566","  1.119509"," -0.727619"
"23"," -0.789463","  1.115951"," -0.753867"
"24"," -0.818704","  1.111483"," -0.779299"
"25"," -0.847203","  1.106180"," -0.803816"
"26"," -0.874884","  1.100139"," -0.827325"
"27"," -0.901675","  1.093474"," -0.849736"
"28"," -0.927512","  1.086311"," -0.870970"
"29"," -0.952339","  1.078788"," -0.890952"
"30"," -0.976108","  1.071046"," -0.909614"
"31"," -0.998779","  1.063225"," -0.926898"
"32"," -1.020322","  1.055456"," -0.942753"
"33"," -1.040711","  1.047856"," -0.957138"
"34"," -1.059926","  1.040519"," -0.970021"
"35"," -1.077956","  1.033513"," -0.981380"
"36"," -1.094796","  1.026869"," -0.991204"
"37"," -1.110452","  1.020585"," -0.999499"
"38"," -1.124945","  1.014620"," -1.006279"
"39"," -1.138314","  1.008899"," -1.011579"
"40"," -1.150616","  1.003317"," -1.015445"
"41"," -1.161929","  0.997740"," -1.017936"
"42"," -1.172350","  0.992015"," -1.019123"
"43"," -1.181992","  0.985976"," -1.019083"
"44"," -1.190982","  0.979451"," -1.017903"
"45"," -1.199464","  0.972274"," -1.015668"
"46"," -1.207591","  0.964287"," -1.012464"
"47"," -1.215525","  0.955354"," -1.008376"
"48"," -1.223435","  0.945358"," -1.003478"
"49"," -1.231492","  0.934206"," -0.997843"
"50"," -1.239861","  0.921824"," -0.991530"
"51"," -1.248698","  0.908148"," -0.984595"
"52"," -1.258138","  0.893122"," -0.977083"
"53"," -1.268285","  0.876691"," -0.969034"
"54"," -1.279199","  0.858800"," -0.960476"
"55"," -1.290893","  0.839397"," -0.951428"
"56"," -1.303321","  0.818434"," -0.941900"
"57"," -1.316375","  0.795880"," -0.931890"
"58"," -1.329889","  0.771724"," -0.921384"
"59"," -1.343638","  0.745981"," -0.910363"
"60"," -1.357347","  0.718696"," -0.898804"
"61"," -1.370701","  0.689945"," -0.886682"
"62"," -1.383351","  0.659836"," -0.873977"
"63"," -1.394923","  0.628502"," -0.860680"
"64"," -1.405031","  0.596102"," -0.846793"
"65"," -1.413286","  0.562819"," -0.832335"
"66"," -1.419306","  0.528858"," -0.817344"
"67"," -1.422732","  0.494443"," -0.801876"
"68"," -1.423237","  0.459821"," -0.786008"
"69"," -1.420542","  0.425248"," -0.769832"
"70"," -1.414427","  0.390988"," -0.753458"
"71"," -1.404744","  0.357298"," -0.737004"
"72"," -1.391427","  0.324425"," -0.720595"
"73"," -1.374501","  0.292591"," -0.704356"
"74"," -1.354088","  0.261987"," -0.688408"
"75"," -1.330400","  0.232769"," -0.672862"
"76"," -1.303744","  0.205057"," -0.657817"
"77"," -1.274503","  0.178933"," -0.643355"
"78"," -1.243125","  0.154444"," -0.629542"
"79"," -1.210104","  0.131605"," -0.616424"
"80"," -1.175963","  0.110403"," -0.604027"
"81"," -1.141229","  0.090799"," -0.592358"
"82"," -1.106417","  0.072743"," -0.581399"
"83"," -1.072012","  0.056174"," -0.571116"
"84"," -1.038459","  0.041033"," -0.561457"
"85"," -1.006149","  0.027265"," -0.552355"
"86"," -0.975414","  0.014824"," -0.543739"
"87"," -0.946527","  0.003671"," -0.535530"
"88"," -0.919692"," -0.006228"," -0.527654"
"89"," -0.895052"," -0.014904"," -0.520043"
"90"," -0.872684"," -0.022391"," -0.512636"
"91"," -0.852600"," -0.028729"," -0.505386"
"92"," -0.834754"," -0.033973"," -0.498254"
"93"," -0.819040"," -0.038194"," -0.491219"
"94"," -0.805304"," -0.041488"," -0.484271"
"95"," -0.793352"," -0.043976"," -0.477418"
"96"," -0.782964"," -0.045811"," -0.470691"
"97"," -0.773907"," -0.047180"," -0.464140"
"98"," -0.765956"," -0.048308"," -0.457845"
"99"," -0.758911"," -0.049461"," -0.451916"
"100"," -0.752613"," -0.050947"," -0.446497"
"101"," -0.746961"," -0.053119"," -0.441764"
"102"," -0.741923"," -0.056377"," -0.437925"
"103"," -0.737538"," -0.061162"," -0.435211"
"104"," -0.733922"," -0.067961"," -0.433866"
"105"," -0.731256"," -0.077294"," -0.434136"
"106"," -0.729781"," -0.089711"," -0.436249"
"107"," -0.729786"," -0.105777"," -0.440406"
"108"," -0.731589"," -0.126055"," -0.446758"
"109"," -0.735524"," -0.151087"," -0.455392"
"110"," -0.741926"," -0.181370"," -0.466323"
"111"," -0.751114"," -0.217322"," -0.479478"
"112"," -0.763382"," -0.259260"," -0.494690"
"113"," -0.778987"," -0.307357"," -0.511696"
"114"," -0.798142"," -0.361608"," -0.530134"
"115"," -0.821015"," -0.421797"," -0.549547"
"116"," -0.847728"," -0.487459"," -0.569390"
"117"," -0.878365"," -0.557852"," -0.589037"
"118"," -0.912976"," -0.631942"," -0.607805"
"119"," -0.951593"," -0.708393"," -0.624964"
"120"," -0.994240"," -0.785585"," -0.639764"
"121"," -1.040949"," -0.861641"," -0.651461"
"122"," -1.091769"," -0.934494"," -0.659346"
"123"," -1.146779"," -1.001957"," -0.662777"
"124"," -1.206079"," -1.061817"," -0.661205"
"125"," -1.269781"," -1.111940"," -0.654205"
"126"," -1.337980"," -1.150362"," -0.641483"
"127"," -1.410705"," -1.175385"," -0.622896"
"128"," -1.487865"," -1.185656"," -0.598442"
"129"," -1.569180"," -1.180233"," -0.568260"
"130"," -1.654122"," -1.158628"," -0.532608"
"131"," -1.741863"," -1.120836"," -0.491850"
"132"," -1.831249"," -1.067337"," -0.446433"
"133"," -1.920813"," -0.999078"," -0.396873"
"134"," -2.008814"," -0.917426"," -0.343739"
"135"," -2.093316"," -0.824091"," -0.287635"
"136"," -2.172287"," -0.721023"," -0.229187"
"137"," -2.243716"," -0.610272"," -0.169022"
"138"," -2.305716"," -0.493832"," -0.107742"
"139"," -2.356606"," -0.373461"," -0.045890"
"140"," -2.394949"," -0.250518","  0.016085"
"141"," -2.419538"," -0.125820","  0.077869"
"142"," -2.429331","  0.000441","  0.139303"
"143"," -2.423342","  0.128694","  0.200395"
"144"," -2.400522","  0.259888","  0.261274"
"145"," -2.359647","  0.395278","  0.322122"
"146"," -2.299268","  0.536125","  0.383028"
"147"," -2.217741","  0.683338","  0.443821"
"148"," -2.113365","  0.837113","  0.503870"
"149"," -1.984631","  0.996645","  0.561912"
"150"," -1.830550","  1.159949","  0.615946"
"151"," -1.651022","  1.323852","  0.663252"
"152"," -1.447170","  1.484135","  0.700552"
"153"," -1.221566","  1.635827","  0.724322"
"154"," -0.978293","  1.773589","  0.731204"
"155"," -0.722794","  1.892131","  0.718454"
"156"," -0.461513","  1.986609","  0.684349"
"157"," -0.201381","  2.052958","  0.628463"
"158","  0.050783","  2.088121","  0.551781"
"159","  0.288857","  2.090185","  0.456642"
"160","  0.507905","  2.058415","  0.346523"
"161","  0.704499","  1.993213","  0.225725"
"162","  0.876845","  1.896022","  0.098999"
"163","  1.024730","  1.769201"," -0.028824"
"164","  1.149309","  1.615869"," -0.153170"
"165","  1.252809","  1.439736"," -0.269997"
"166","  1.338179","  1.244923"," -0.375992"
"167","  1.408756","  1.035770"," -0.468682"
"168","  1.467963","  0.816647"," -0.546477"
"169","  1.519060","  0.591769"," -0.608652"
"170","  1.564950","  0.365020"," -0.655280"
"171","  1.608049","  0.139814"," -0.687128"
"172","  1.650197"," -0.081018"," -0.705533"
"173","  1.692626"," -0.295286"," -0.712263"
"174","  1.735957"," -0.501448"," -0.709371"
"175","  1.780244"," -0.698564"," -0.699056"
"176","  1.825033"," -0.886196"," -0.683529"
"177","  1.869454"," -1.064274"," -0.664896"
"178","  1.912325"," -1.232939"," -0.645054"
"179","  1.952271"," -1.392397"," -0.625612"
"180","  1.987844"," -1.542792"," -0.607818"
"181","  2.017630"," -1.684131"," -0.592514"
"182","  2.040348"," -1.816260"," -0.580103"
"183","  2.054919"," -1.938911"," -0.570536"
"184","  2.060529"," -2.051793"," -0.563316"
"185","  2.056693"," -2.154725"," -0.557529"
"186","  2.043353"," -2.247786"," -0.551891"
"187","  2.021047"," -2.331423"," -0.544831"
"188","  1.991140"," -2.406478"," -0.534603"
"189","  1.956059"," -2.474064"," -0.519430"
"190","  1.919363"," -2.535243"," -0.497682"
"191","  1.885388"," -2.590570"," -0.468056"
"192","  1.858250"," -2.639665"," -0.429729"
"193","  1.840255"," -2.681170"," -0.382439"
