"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0"," -0.082286","  1.652723"," -0.194619"
"1"," -0.102715","  1.645291"," -0.206995"
"2"," -0.123282","  1.637762"," -0.219515"
"3"," -0.143766","  1.630253"," -0.232064"
"4"," -0.163957","  1.622867"," -0.244533"
"5"," -0.183669","  1.615685"," -0.256824"
"6"," -0.202737","  1.608768"," -0.268852"
"7"," -0.221026","  1.602155"," -0.280546"
"8"," -0.238426","  1.595871"," -0.291852"
"9"," -0.254854","  1.589926"," -0.302731"
"10"," -0.270259","  1.584323"," -0.313162"
"11"," -0.284611","  1.579061"," -0.323139"
"12"," -0.297911","  1.574141"," -0.332673"
"13"," -0.310180","  1.569562"," -0.341790"
"14"," -0.321466","  1.565326"," -0.350531"
"15"," -0.331841","  1.561437"," -0.358951"
"16"," -0.341398","  1.557899"," -0.367117"
"17"," -0.350254","  1.554713"," -0.375109"
"18"," -0.358551","  1.551875"," -0.383017"
"19"," -0.366445","  1.549373"," -0.390937"
"20"," -0.374114","  1.547186"," -0.398974"
"21"," -0.381742","  1.545278"," -0.407232"
"22"," -0.389520","  1.543601"," -0.415818"
"23"," -0.397636","  1.542092"," -0.424829"
"24"," -0.406264","  1.540671"," -0.434356"
"25"," -0.415557","  1.539239"," -0.444471"
"26"," -0.425640","  1.537680"," -0.455230"
"27"," -0.436599","  1.535861"," -0.466661"
"28"," -0.448475","  1.533635"," -0.478765"
"29"," -0.461264","  1.530849"," -0.491515"
"30"," -0.474910","  1.527361"," -0.504852"
"31"," -0.489311","  1.523049"," -0.518691"
"32"," -0.504324","  1.517839"," -0.532925"
"33"," -0.519782","  1.511715"," -0.547432"
"34"," -0.535508","  1.504732"," -0.562087"
"35"," -0.551333","  1.497012"," -0.576771"
"36"," -0.567110","  1.488731"," -0.591380"
"37"," -0.582728","  1.480099"," -0.605834"
"38"," -0.598120","  1.471332"," -0.620080"
"39"," -0.613269","  1.462628"," -0.634093"
"40"," -0.628209","  1.454143"," -0.647875"
"41"," -0.643028","  1.445975"," -0.661454"
"42"," -0.657854","  1.438152"," -0.674878"
"43"," -0.672850","  1.430630"," -0.688206"
"44"," -0.688203","  1.423297"," -0.701509"
"45"," -0.704117","  1.415977"," -0.714862"
"46"," -0.720805","  1.408446"," -0.728347"
"47"," -0.738485","  1.400442"," -0.742046"
"48"," -0.757375","  1.391678"," -0.756043"
"49"," -0.777682","  1.381855"," -0.770422"
"50"," -0.799594","  1.370674"," -0.785260"
"51"," -0.823267","  1.357852"," -0.800626"
"52"," -0.848811","  1.343132"," -0.816574"
"53"," -0.876277","  1.326294"," -0.833137"
"54"," -0.905652","  1.307170"," -0.850327"
"55"," -0.936849","  1.285643"," -0.868131"
"56"," -0.969714","  1.261658"," -0.886511"
"57"," -1.004035","  1.235217"," -0.905404"
"58"," -1.039554","  1.206377"," -0.924730"
"59"," -1.075995","  1.175247"," -0.944395"
"60"," -1.113081","  1.141975"," -0.964298"
"61"," -1.150552","  1.106750"," -0.984338"
"62"," -1.188186","  1.069786"," -1.004422"
"63"," -1.225807","  1.031322"," -1.024465"
"64"," -1.263295","  0.991611"," -1.044397"
"65"," -1.300587","  0.950910"," -1.064160"
