"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0"," -0.509205","  1.212330"," -0.618938"
"1"," -0.455645","  1.199609"," -0.599910"
"2"," -0.400828","  1.187770"," -0.581051"
"3"," -0.345111","  1.176996"," -0.562658"
"4"," -0.288928","  1.167401"," -0.545058"
"5"," -0.232795","  1.159032"," -0.528604"
"6"," -0.177312","  1.151865"," -0.513673"
"7"," -0.123153","  1.145809"," -0.500660"
"8"," -0.071064","  1.140722"," -0.489968"
"9"," -0.021844","  1.136418"," -0.482002"
"10","  0.023668","  1.132686"," -0.477155"
"11","  0.064618","  1.129304"," -0.475800"
"12","  0.100158","  1.126048"," -0.478281"
"13","  0.129477","  1.122709"," -0.484895"
"14","  0.151825","  1.119096"," -0.495887"
"15","  0.166545","  1.115041"," -0.511434"
"16","  0.173092","  1.110400"," -0.531643"
"17","  0.171051","  1.105042"," -0.556538"
"18","  0.160153","  1.098842"," -0.586062"
"19","  0.140274","  1.091665"," -0.620078"
"20","  0.111433","  1.083352"," -0.658370"
"21","  0.073786","  1.073713"," -0.700649"
"22","  0.027613","  1.062525"," -0.746565"
"23"," -0.026699","  1.049532"," -0.795709"
"24"," -0.088673","  1.034459"," -0.847630"
"25"," -0.157754","  1.017025"," -0.901840"
"26"," -0.233336","  0.996961"," -0.957829"
"27"," -0.314772","  0.974021"," -1.015075"
"28"," -0.401389","  0.947992"," -1.073054"
"29"," -0.492504","  0.918699"," -1.131255"
"30"," -0.587433","  0.885998"," -1.189187"
"31"," -0.685503","  0.849770"," -1.246400"
"32"," -0.786058","  0.809911"," -1.302487"
"33"," -0.888472","  0.766322"," -1.357103"
"34"," -0.992148","  0.718894"," -1.409968"
"35"," -1.096521","  0.667507"," -1.460867"
"36"," -1.201053","  0.612024"," -1.509653"
"37"," -1.305228","  0.552296"," -1.556234"
"38"," -1.408538","  0.488173"," -1.600570"
"39"," -1.510480","  0.419527"," -1.642653"
"40"," -1.610545","  0.346274"," -1.682499"
"41"," -1.708212","  0.268401"," -1.720132"
"42"," -1.802946","  0.185987"," -1.755574"
"43"," -1.894193","  0.099222"," -1.788833"
"44"," -1.981383","  0.008418"," -1.819893"
"45"," -2.063928"," -0.085982"," -1.848712"
"46"," -2.141239"," -0.183399"," -1.875217"
"47"," -2.212727"," -0.283132"," -1.899303"
"48"," -2.277822"," -0.384360"," -1.920836"
"49"," -2.335992"," -0.486172"," -1.939662"
"50"," -2.386760"," -0.587588"," -1.955611"
"51"," -2.429728"," -0.687599"," -1.968514"
"52"," -2.464591"," -0.785197"," -1.978210"
"53"," -2.491152"," -0.879420"," -1.984565"
"54"," -2.509330"," -0.969379"," -1.987480"
"55"," -2.519161"," -1.054284"," -1.986903"
"56"," -2.520794"," -1.133462"," -1.982836"
"57"," -2.514481"," -1.206364"," -1.975336"
"58"," -2.500561"," -1.272570"," -1.964515"
"59"," -2.479449"," -1.331791"," -1.950533"
"60"," -2.451613"," -1.383866"," -1.933588"
"61"," -2.417566"," -1.428760"," -1.913902"
"62"," -2.377848"," -1.466552"," -1.891711"
"63"," -2.333025"," -1.497429"," -1.867248"
"64"," -2.283679"," -1.521671"," -1.840738"
"65"," -2.230412"," -1.539641"," -1.812386"
"66"," -2.173847"," -1.551769"," -1.782371"
"67"," -2.114626"," -1.558544"," -1.750843"
"68"," -2.053414"," -1.560494"," -1.717920"
"69"," -1.990894"," -1.558174"," -1.683690"
"70"," -1.927761"," -1.552147"," -1.648208"
"71"," -1.864715"," -1.542965"," -1.611500"
"72"," -1.802452"," -1.531152"," -1.573569"
"73"," -1.741658"," -1.517190"," -1.534400"
"74"," -1.682997"," -1.501509"," -1.493959"
"75"," -1.627102"," -1.484475"," -1.452199"
"76"," -1.574560"," -1.466385"," -1.409066"
"77"," -1.525911"," -1.447467"," -1.364497"
"78"," -1.481639"," -1.427871"," -1.318429"
"79"," -1.442164"," -1.407676"," -1.270800"
"80"," -1.407844"," -1.386895"," -1.221556"
"81"," -1.378967"," -1.365484"," -1.170654"
"82"," -1.355744"," -1.343370"," -1.118068"
"83"," -1.338299"," -1.320469"," -1.063793"
"84"," -1.326662"," -1.296709"," -1.007843"
"85"," -1.320761"," -1.272047"," -0.950256"
"86"," -1.320409"," -1.246473"," -0.891088"
"87"," -1.325301"," -1.220003"," -0.830407"
"88"," -1.335006"," -1.192652"," -0.768280"
"89"," -1.348969"," -1.164402"," -0.704760"
"90"," -1.366516"," -1.135147"," -0.639868"
"91"," -1.386855"," -1.104647"," -0.573571"
"92"," -1.409087"," -1.072477"," -0.505768"
"93"," -1.432216"," -1.037989"," -0.436268"
"94"," -1.455148"," -1.000292"," -0.364786"
"95"," -1.476699"," -0.958255"," -0.290935"
"96"," -1.495586"," -0.910545"," -0.214237"
"97"," -1.510433"," -0.855686"," -0.134153"
"98"," -1.519776"," -0.792153"," -0.050117"
"99"," -1.522068"," -0.718483","  0.038396"
"100"," -1.515708"," -0.633404","  0.131793"
"101"," -1.499066"," -0.535970","  0.230265"
"102"," -1.470535"," -0.425693","  0.333686"
"103"," -1.428572"," -0.302666","  0.441502"
"104"," -1.371760"," -0.167667","  0.552646"
"105"," -1.298849"," -0.022232","  0.665485"
"106"," -1.208805","  0.131310","  0.777820"
"107"," -1.100847","  0.289868","  0.886953"
"108"," -0.974499","  0.449683","  0.989823"
"109"," -0.829650","  0.606524","  1.083182"
"110"," -0.666651","  0.755935","  1.163792"
"111"," -0.486420","  0.893551","  1.228591"
"112"," -0.290556","  1.015383","  1.274816"
"113"," -0.081410","  1.118078","  1.300069"
"114","  0.137884","  1.199075","  1.302357"
"115","  0.363482","  1.256673","  1.280140"
"116","  0.590986","  1.290010","  1.232419"
"117","  0.815702","  1.298988","  1.158852"
"118","  1.032980","  1.284163","  1.059900"
"119","  1.238581","  1.246648","  0.936920"
"120","  1.429008","  1.188031","  0.792184"
"121","  1.601746","  1.110331","  0.628778"
"122","  1.755334","  1.015957","  0.450394"
"123","  1.889249","  0.907651","  0.261066"
"124","  2.003623","  0.788373","  0.064905"
"125","  2.098852","  0.661102"," -0.134095"
"126","  2.175208","  0.528537"," -0.332150"
"127","  2.232571","  0.392732"," -0.525660"
"128","  2.270384","  0.254748"," -0.711109"
"129","  2.287868","  0.114452"," -0.884926"
"130","  2.284410"," -0.029398"," -1.043409"
"131","  2.259973"," -0.178713"," -1.182740"
"132","  2.215314"," -0.335389"," -1.299119"
"133","  2.151922"," -0.500587"," -1.389002"
"134","  2.071755"," -0.674268"," -1.449349"
"135","  1.976961"," -0.855101"," -1.477864"
"136","  1.869810"," -1.040686"," -1.473167"
"137","  1.752878"," -1.227895"," -1.434914"
"138","  1.629290"," -1.413061"," -1.363887"
"139","  1.502633"," -1.591950"," -1.262087"
"140","  1.376219"," -1.759652"," -1.132809"
"141","  1.251805"," -1.910767"," -0.980673"
"142","  1.128544"," -2.040200"," -0.811537"
"143","  1.003142"," -2.144388"," -0.632205"
"144","  0.871611"," -2.222338"," -0.449913"
"145","  0.731783"," -2.275751"," -0.271609"
"146","  0.585015"," -2.308140"," -0.103208"
"147","  0.436022"," -2.323546","  0.050917"
"148","  0.291136"," -2.325625","  0.188017"
"149","  0.156213"," -2.317374","  0.306609"
"150","  0.035248"," -2.301192","  0.405897"
"151"," -0.070011"," -2.278960","  0.485243"
"152"," -0.159783"," -2.252104","  0.543932"
"153"," -0.235686"," -2.221842","  0.581309"
"154"," -0.300116"," -2.189594","  0.597188"
"155"," -0.355698"," -2.157296","  0.592316"
"156"," -0.404915"," -2.127368","  0.568669"
"157"," -0.449911"," -2.102343","  0.529435"
"158"," -0.492390"," -2.084395","  0.478635"
"159"," -0.533547"," -2.074966","  0.420535"
"160"," -0.574020"," -2.074558","  0.359070"
"161"," -0.613937"," -2.082719","  0.297491"
"162"," -0.653088"," -2.098235","  0.238293"
"163"," -0.691161"," -2.119476","  0.183355"
"164"," -0.727934"," -2.144817","  0.134125"
"165"," -0.763313"," -2.172929","  0.091734"
"166"," -0.797231"," -2.202845","  0.057001"
"167"," -0.829522"," -2.233818","  0.030373"
"168"," -0.859853"," -2.265114","  0.011886"
"169"," -0.887767"," -2.295890","  0.001198"
"170"," -0.912788"," -2.325208"," -0.002322"
"171"," -0.934525"," -2.352152","  0.000504"
