"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0"," -0.552016","  1.071669"," -0.552796"
"1"," -0.556599","  1.073032"," -0.555134"
"2"," -0.561084","  1.074355"," -0.557552"
"3"," -0.565366","  1.075604"," -0.560052"
"4"," -0.569339","  1.076747"," -0.562631"
"5"," -0.572901","  1.077755"," -0.565287"
"6"," -0.575958","  1.078602"," -0.568015"
"7"," -0.578433","  1.079269"," -0.570812"
"8"," -0.580267","  1.079739"," -0.573677"
"9"," -0.581426","  1.080000"," -0.576614"
"10"," -0.581901","  1.080047"," -0.579630"
"11"," -0.581711","  1.079876"," -0.582742"
"12"," -0.580904","  1.079490"," -0.585976"
"13"," -0.579553","  1.078892"," -0.589362"
"14"," -0.577754","  1.078087"," -0.592940"
"15"," -0.575625","  1.077079"," -0.596757"
"16"," -0.573297","  1.075869"," -0.600863"
"17"," -0.570909","  1.074453"," -0.605312"
"18"," -0.568607","  1.072823"," -0.610157"
"19"," -0.566536","  1.070963"," -0.615450"
"20"," -0.564834","  1.068858"," -0.621236"
"21"," -0.563629","  1.066484"," -0.627553"
"22"," -0.563037","  1.063823"," -0.634430"
"23"," -0.563154","  1.060852"," -0.641881"
"24"," -0.564061","  1.057554"," -0.649907"
"25"," -0.565818","  1.053912"," -0.658491"
"26"," -0.568466","  1.049911"," -0.667602"
"27"," -0.572026","  1.045540"," -0.677194"
"28"," -0.576504","  1.040787"," -0.687210"
"29"," -0.581895","  1.035645"," -0.697583"
"30"," -0.588182","  1.030112"," -0.708246"
"31"," -0.595346","  1.024195"," -0.719134"
"32"," -0.603363","  1.017909"," -0.730191"
"33"," -0.612212","  1.011282"," -0.741370"
"34"," -0.621874","  1.004347"," -0.752640"
"35"," -0.632331","  0.997146"," -0.763985"
"36"," -0.643567","  0.989715"," -0.775405"
"37"," -0.655566","  0.982089"," -0.786910"
"38"," -0.668310","  0.974284"," -0.798523"
"39"," -0.681781","  0.966304"," -0.810274"
"40"," -0.695954","  0.958128"," -0.822196"
"41"," -0.710803","  0.949714"," -0.834325"
"42"," -0.726301","  0.941003"," -0.846694"
"43"," -0.742421","  0.931917"," -0.859333"
"44"," -0.759137","  0.922368"," -0.872270"
"45"," -0.776431","  0.912263"," -0.885526"
"46"," -0.794290","  0.901506"," -0.899116"
"47"," -0.812710","  0.890007"," -0.913052"
"48"," -0.831695","  0.877679"," -0.927335"
"49"," -0.851257","  0.864444"," -0.941960"
"50"," -0.871415","  0.850230"," -0.956910"
"51"," -0.892192","  0.834978"," -0.972159"
"52"," -0.913615","  0.818640"," -0.987667"
"53"," -0.935711","  0.801179"," -1.003385"
"54"," -0.958505","  0.782574"," -1.019251"
"55"," -0.982022","  0.762817"," -1.035197"
"56"," -1.006279","  0.741912"," -1.051146"
"57"," -1.031290","  0.719873"," -1.067017"
"58"," -1.057059","  0.696724"," -1.082726"
"59"," -1.083579","  0.672497"," -1.098185"
"60"," -1.110827","  0.647238"," -1.113300"
"61"," -1.138768","  0.620998"," -1.127973"
"62"," -1.167346","  0.593840"," -1.142101"
"63"," -1.196486","  0.565829"," -1.155577"
"64"," -1.226093","  0.537027"," -1.168297"
"65"," -1.256052","  0.507491"," -1.180159"
"66"," -1.286228","  0.477263"," -1.191071"
"67"," -1.316471","  0.446370"," -1.200952"
"68"," -1.346612","  0.414823"," -1.209742"
"69"," -1.376474","  0.382615"," -1.217400"
"70"," -1.405867","  0.349720"," -1.223906"
"71"," -1.434597","  0.316094"," -1.229261"
"72"," -1.462467","  0.281671"," -1.233485"
"73"," -1.489280","  0.246364"," -1.236617"
"74"," -1.514841","  0.210076"," -1.238706"
"75"," -1.538964","  0.172699"," -1.239811"
"76"," -1.561471","  0.134133"," -1.239996"
"77"," -1.582200","  0.094291"," -1.239322"
"78"," -1.601003","  0.053115"," -1.237845"
"79"," -1.617757","  0.010579"," -1.235615"
"80"," -1.632356"," -0.033308"," -1.232671"
"81"," -1.644716"," -0.078500"," -1.229041"
"82"," -1.654773"," -0.124914"," -1.224742"
"83"," -1.662481"," -0.172431"," -1.219780"
"84"," -1.667813"," -0.220893"," -1.214151"
"85"," -1.670760"," -0.270102"," -1.207843"
"86"," -1.671343"," -0.319817"," -1.200842"
"87"," -1.669606"," -0.369759"," -1.193139"
