"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0"," -0.123687","  0.820308"," -0.214083"
"1"," -0.168876","  0.816694"," -0.252094"
"2"," -0.215261","  0.811743"," -0.291277"
"3"," -0.262853","  0.805319"," -0.331517"
"4"," -0.311652","  0.797273"," -0.372684"
"5"," -0.361645","  0.787454"," -0.414638"
"6"," -0.412807","  0.775714"," -0.457232"
"7"," -0.465097","  0.761916"," -0.500320"
"8"," -0.518463","  0.745939"," -0.543761"
"9"," -0.572843","  0.727688"," -0.587428"
"10"," -0.628168","  0.707094"," -0.631213"
"11"," -0.684367","  0.684112"," -0.675030"
"12"," -0.741370","  0.658730"," -0.718824"
"13"," -0.799108","  0.630955"," -0.762565"
"14"," -0.857513","  0.600822"," -0.806248"
"15"," -0.916515","  0.568385"," -0.849887"
"16"," -0.976042","  0.533717"," -0.893513"
"17"," -1.036022","  0.496909"," -0.937165"
"18"," -1.096377","  0.458063"," -0.980884"
"19"," -1.157028","  0.417296"," -1.024704"
"20"," -1.217890","  0.374736"," -1.068649"
"21"," -1.278868","  0.330525"," -1.112714"
"22"," -1.339859","  0.284816"," -1.156869"
"23"," -1.400747","  0.237777"," -1.201046"
"24"," -1.461394","  0.189584"," -1.245139"
"25"," -1.521647","  0.140420"," -1.289003"
"26"," -1.581326","  0.090470"," -1.332456"
"27"," -1.640233","  0.039921"," -1.375284"
"28"," -1.698150"," -0.011050"," -1.417250"
"29"," -1.754849"," -0.062281"," -1.458106"
"30"," -1.810093"," -0.113625"," -1.497599"
"31"," -1.863643"," -0.164963"," -1.535482"
"32"," -1.915261"," -0.216198"," -1.571525"
"33"," -1.964719"," -0.267263"," -1.605515"
"34"," -2.011800"," -0.318115"," -1.637264"
"35"," -2.056302"," -0.368736"," -1.666612"
"36"," -2.098042"," -0.419124"," -1.693426"
"37"," -2.136863"," -0.469290"," -1.717604"
"38"," -2.172633"," -0.519244"," -1.739071"
"39"," -2.205248"," -0.568991"," -1.757781"
"40"," -2.234632"," -0.618522"," -1.773711"
"41"," -2.260739"," -0.667803"," -1.786863"
"42"," -2.283548"," -0.716780"," -1.797261"
"43"," -2.303065"," -0.765369"," -1.804947"
"44"," -2.319317"," -0.813461"," -1.809982"
"45"," -2.332353"," -0.860928"," -1.812443"
"46"," -2.342242"," -0.907623"," -1.812428"
