"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0"," -0.947810","  0.506468"," -0.956178"
"1"," -0.947501","  0.503731"," -0.955032"
"2"," -0.947103","  0.501009"," -0.954037"
"3"," -0.946552","  0.498284"," -0.953196"
"4"," -0.945782","  0.495527"," -0.952503"
"5"," -0.944724","  0.492709"," -0.951945"
"6"," -0.943321","  0.489795"," -0.951508"
"7"," -0.941531","  0.486751"," -0.951172"
"8"," -0.939330","  0.483546"," -0.950921"
"9"," -0.936721","  0.480153"," -0.950740"
"10"," -0.933734","  0.476553"," -0.950620"
"11"," -0.930426","  0.472738"," -0.950554"
"12"," -0.926881","  0.468710"," -0.950541"
"13"," -0.923207","  0.464488"," -0.950584"
"14"," -0.919524","  0.460097"," -0.950686"
"15"," -0.915964","  0.455573"," -0.950851"
"16"," -0.912652","  0.450952"," -0.951079"
"17"," -0.909696","  0.446269"," -0.951365"
"18"," -0.907175","  0.441545"," -0.951693"
"19"," -0.905133","  0.436790"," -0.952036"
"20"," -0.903566","  0.432002"," -0.952355"
"21"," -0.902426","  0.427167"," -0.952598"
"22"," -0.901618","  0.422273"," -0.952699"
"23"," -0.901006","  0.417310"," -0.952583"
"24"," -0.900416","  0.412288"," -0.952163"
"25"," -0.899646","  0.407235"," -0.951344"
"26"," -0.898468","  0.402210"," -0.950019"
"27"," -0.896641","  0.397293"," -0.948074"
"28"," -0.893916","  0.392591"," -0.945389"
"29"," -0.890042","  0.388223"," -0.941831"
"30"," -0.884777","  0.384320"," -0.937265"
"31"," -0.877892","  0.381012"," -0.931548"
"32"," -0.869180","  0.378431"," -0.924534"
"33"," -0.858456","  0.376708"," -0.916077"
"34"," -0.845572","  0.375973"," -0.906037"
"35"," -0.830416","  0.376362"," -0.894287"
"36"," -0.812922","  0.378006"," -0.880718"
"37"," -0.793076","  0.381031"," -0.865255"
"38"," -0.770920","  0.385548"," -0.847862"
"39"," -0.746560","  0.391646"," -0.828555"
"40"," -0.720163","  0.399375"," -0.807410"
"41"," -0.691959","  0.408745"," -0.784571"
"42"," -0.662238","  0.419710"," -0.760256"
"43"," -0.631352","  0.432170"," -0.734758"
"44"," -0.599703","  0.445961"," -0.708443"
"45"," -0.567749","  0.460858"," -0.681753"
"46"," -0.535990","  0.476579"," -0.655191"
"47"," -0.504973","  0.492783"," -0.629324"
"48"," -0.475281","  0.509084"," -0.604768"
"49"," -0.447537","  0.525052"," -0.582183"
"50"," -0.422395","  0.540217"," -0.562262"
"51"," -0.400540","  0.554080"," -0.545717"
"52"," -0.382680","  0.566112"," -0.533271"
"53"," -0.369537","  0.575757"," -0.525640"
"54"," -0.361840","  0.582436"," -0.523518"
"55"," -0.360301","  0.585554"," -0.527564"
"56"," -0.365608","  0.584506"," -0.538380"
"57"," -0.378390","  0.578697"," -0.556492"
"58"," -0.399204","  0.567559"," -0.582338"
"59"," -0.428501","  0.550564"," -0.616244"
"60"," -0.466611","  0.527247"," -0.658409"
"61"," -0.513712","  0.497213"," -0.708896"
"62"," -0.569818","  0.460149"," -0.767610"
"63"," -0.634762","  0.415828"," -0.834298"
"64"," -0.708185","  0.364114"," -0.908539"
"65"," -0.789532","  0.304963"," -0.989745"
"66"," -0.878059","  0.238423"," -1.077164"
"67"," -0.972832","  0.164639"," -1.169890"
"68"," -1.072751","  0.083855"," -1.266883"
"69"," -1.176571"," -0.003589"," -1.366986"
"70"," -1.282934"," -0.097259"," -1.468954"
"71"," -1.390409"," -0.196630"," -1.571492"
"72"," -1.497539"," -0.301101"," -1.673280"
"73"," -1.602880"," -0.409994"," -1.773017"
"74"," -1.705049"," -0.522568"," -1.869450"
"75"," -1.802768"," -0.638022"," -1.961409"
"76"," -1.894894"," -0.755504"," -2.047838"
"77"," -1.980455"," -0.874113"," -2.127820"
"78"," -2.058668"," -0.992921"," -2.200597"
"79"," -2.128957"," -1.110984"," -2.265588"
"80"," -2.190955"," -1.227370"," -2.322393"
"81"," -2.244507"," -1.341194"," -2.370798"
"82"," -2.289652"," -1.451655"," -2.410766"
"83"," -2.326606"," -1.558066"," -2.442427"
"84"," -2.355725"," -1.659895"," -2.466058"
"85"," -2.377472"," -1.756771"," -2.482058"
"86"," -2.392371"," -1.848502"," -2.490923"
"87"," -2.400978"," -1.935065"," -2.493219"
"88"," -2.403845"," -2.016584"," -2.489556"
"89"," -2.401502"," -2.093299"," -2.480565"
"90"," -2.394447"," -2.165529"," -2.466877"
"91"," -2.383136"," -2.233628"," -2.449110"
"92"," -2.367985"," -2.297950"," -2.427858"
"93"," -2.349374"," -2.358816"," -2.403680"
"94"," -2.327645"," -2.416486"," -2.377101"
"95"," -2.303109"," -2.471148"," -2.348608"
"96"," -2.276046"," -2.522914"," -2.318650"
"97"," -2.246704"," -2.571821"," -2.287638"
"98"," -2.215296"," -2.617850"," -2.255944"
"99"," -2.182007"," -2.660944"," -2.223901"
"100"," -2.146992"," -2.701022"," -2.191798"
"101"," -2.110380"," -2.738004"," -2.159884"
"102"," -2.072282"," -2.771825"," -2.128361"
"103"," -2.032793"," -2.802446"," -2.097383"
"104"," -1.992005"," -2.829864"," -2.067063"
"105"," -1.950004"," -2.854117"," -2.037468"
"106"," -1.906887"," -2.875283"," -2.008624"
"107"," -1.862757"," -2.893479"," -1.980525"
"108"," -1.817735"," -2.908849"," -1.953133"
"109"," -1.771959"," -2.921554"," -1.926387"
"110"," -1.725583"," -2.931759"," -1.900209"
"111"," -1.678783"," -2.939619"," -1.874512"
"112"," -1.631745"," -2.945271"," -1.849205"
"113"," -1.584670"," -2.948826"," -1.824200"
"114"," -1.537758"," -2.950375"," -1.799416"
"115"," -1.491206"," -2.949988"," -1.774785"
"116"," -1.445198"," -2.947729"," -1.750256"
"117"," -1.399900"," -2.943658"," -1.725800"
"118"," -1.355461"," -2.937847"," -1.701410"
"119"," -1.312008"," -2.930385"," -1.677106"
"120"," -1.269652"," -2.921388"," -1.652934"
"121"," -1.228488"," -2.911007"," -1.628967"
"122"," -1.188598"," -2.899427"," -1.605300"
"123"," -1.150057"," -2.886864"," -1.582049"
"124"," -1.112934"," -2.873560"," -1.559349"
"125"," -1.077296"," -2.859771"," -1.537348"
"126"," -1.043209"," -2.845764"," -1.516200"
"127"," -1.010745"," -2.831801"," -1.496065"
"128"," -0.979974"," -2.818141"," -1.477098"
"129"," -0.950974"," -2.805032"," -1.459452"
"130"," -0.923821"," -2.792705"," -1.443265"
"131"," -0.898596"," -2.781375"," -1.428667"
"132"," -0.875378"," -2.771246"," -1.415773"
"133"," -0.854242"," -2.762506"," -1.404688"
"134"," -0.835255"," -2.755342"," -1.395502"
"135"," -0.818476"," -2.749939"," -1.388295"
"136"," -0.803947"," -2.746482"," -1.383132"
"137"," -0.791692"," -2.745160"," -1.380070"
"138"," -0.781716"," -2.746160"," -1.379144"
"139"," -0.773998"," -2.749668"," -1.380373"
"140"," -0.768491"," -2.755864"," -1.383742"
"141"," -0.765112"," -2.764921"," -1.389200"
"142"," -0.763742"," -2.776992"," -1.396640"
"143"," -0.764215"," -2.792204"," -1.405896"
"144"," -0.766317"," -2.810637"," -1.416726"
"145"," -0.769779"," -2.832304"," -1.428806"
"146"," -0.774282"," -2.857115"," -1.441725"
"147"," -0.779461"," -2.884847"," -1.454986"
"148"," -0.784915"," -2.915112"," -1.468012"
"149"," -0.790230"," -2.947335"," -1.480156"
"150"," -0.794991"," -2.980742"," -1.490715"
"151"," -0.798813"," -3.014367"," -1.498953"
"152"," -0.801362"," -3.047064"," -1.504121"
"153"," -0.802384"," -3.077531"," -1.505480"
"154"," -0.801731"," -3.104351"," -1.502334"
"155"," -0.799389"," -3.126031"," -1.494055"
"156"," -0.795497"," -3.141051"," -1.480103"
"157"," -0.790359"," -3.147924"," -1.460060"
"158"," -0.784443"," -3.145255"," -1.433634"
"159"," -0.778372"," -3.131802"," -1.400681"
"160"," -0.772894"," -3.106544"," -1.361205"
"161"," -0.768844"," -3.068738"," -1.315362"
"162"," -0.767100"," -3.017970"," -1.263453"
"163"," -0.768529"," -2.954192"," -1.205916"
"164"," -0.773943"," -2.877744"," -1.143320"
"165"," -0.784053"," -2.789342"," -1.076351"
"166"," -0.799438"," -2.690055"," -1.005800"
"167"," -0.820524"," -2.581241"," -0.932550"
"168"," -0.847574"," -2.464472"," -0.857565"
"169"," -0.880692"," -2.341429"," -0.781873"
"170"," -0.919826"," -2.213796"," -0.706545"
"171"," -0.964787"," -2.083144"," -0.632682"
"172"," -1.015254"," -1.950829"," -0.561380"
"173"," -1.070786"," -1.817905"," -0.493709"
"174"," -1.130827"," -1.685058"," -0.430677"
"175"," -1.194695"," -1.552583"," -0.373194"
"176"," -1.261578"," -1.420387"," -0.322039"
"177"," -1.330513"," -1.288036"," -0.277831"
"178"," -1.400365"," -1.154841"," -0.240992"
"179"," -1.469811"," -1.019979"," -0.211729"
"180"," -1.537327"," -0.882643"," -0.190010"
"181"," -1.601189"," -0.742207"," -0.175549"
"182"," -1.659498"," -0.598388"," -0.167794"
"183"," -1.710220"," -0.451396"," -0.165916"
"184"," -1.751258"," -0.302035"," -0.168806"
"185"," -1.780525"," -0.151735"," -0.175077"
"186"," -1.796033"," -0.002501"," -0.183095"
"187"," -1.795980","  0.143250"," -0.191048"
"188"," -1.778836","  0.282957"," -0.197096"
"189"," -1.743459","  0.414254"," -0.199599"
"190"," -1.689252","  0.535321"," -0.197431"
"191"," -1.616376","  0.645170"," -0.190306"
"192"," -1.526010","  0.743795"," -0.179034"
"193"," -1.420577","  0.832178"," -0.165580"
"194"," -1.303849","  0.912155"," -0.152862"
"195"," -1.180826","  0.986223"," -0.144324"
"196"," -1.057374","  1.057314"," -0.143360"
"197"," -0.939648","  1.128560"," -0.152753"
"198"," -0.833431","  1.203028"," -0.174241"
"199"," -0.743505","  1.283430"," -0.208291"
"200"," -0.673165","  1.371829"," -0.254092"
"201"," -0.623947","  1.469395"," -0.309735"
"202"," -0.595576","  1.576248"," -0.372526"
"203"," -0.586113","  1.691427"," -0.439351"
"204"," -0.592251","  1.812964"," -0.507046"
"205"," -0.609715","  1.938033"," -0.572709"
"206"," -0.633692","  2.063142"," -0.633933"
"207"," -0.659273","  2.184340"," -0.688934"
"208"," -0.681832","  2.297427"," -0.736601"
"209"," -0.697335","  2.398162"," -0.776450"
"210"," -0.702565","  2.482463"," -0.808528"
"211"," -0.695230","  2.546599"," -0.833277"
"212"," -0.674002","  2.587343"," -0.851366"
"213"," -0.638460","  2.602084"," -0.863536"
"214"," -0.588979","  2.588897"," -0.870450"
"215"," -0.526578","  2.546547"," -0.872576"
"216"," -0.452753","  2.474465"," -0.870107"
"217"," -0.369308","  2.372691"," -0.862928"
"218"," -0.278220","  2.241797"," -0.850615"
"219"," -0.181506","  2.082775"," -0.832479"
"220"," -0.081107","  1.896926"," -0.807628"
"221","  0.021278","  1.685726"," -0.775052"
"222","  0.124405","  1.450761"," -0.733721"
"223","  0.227763","  1.193776"," -0.682697"
"224","  0.331779","  0.916935"," -0.621259"
"225","  0.437713","  0.623289"," -0.549036"
"226","  0.546938","  0.317296"," -0.466135"
"227","  0.659517","  0.005038"," -0.373242"
"228","  0.772529"," -0.306298"," -0.271679"
"229","  0.879217"," -0.609809"," -0.163429"
"230","  0.970115"," -0.900635"," -0.051152"
"231","  1.036330"," -1.177048","  0.061857"
"232","  1.073502"," -1.439942","  0.171848"
"233","  1.084028"," -1.690776","  0.274970"
"234","  1.075954"," -1.929195","  0.367701"
"235","  1.059161"," -2.151861","  0.447214"
"236","  1.041204"," -2.353206","  0.511654"
"237","  1.025096"," -2.527563","  0.560329"
"238","  1.009766"," -2.671429","  0.593854"
"239","  0.992386"," -2.784704","  0.614125"
"240","  0.971026"," -2.870395","  0.624057"
"241","  0.946256"," -2.932939","  0.627105"
"242","  0.920994"," -2.976003","  0.626686"
"243","  0.898785"," -3.000962","  0.625663"
"244","  0.881650"," -3.007036","  0.625952"
"245","  0.868930"," -2.993039","  0.628268"
"246","  0.857829"," -2.959592","  0.632065"
"247","  0.845104"," -2.910370","  0.635819"
"248","  0.828599"," -2.851701","  0.637785"
"249","  0.807749"," -2.791008","  0.636995"
"250","  0.783204"," -2.735096","  0.633920"
"251","  0.756167"," -2.689030","  0.630277"
"252","  0.727920"," -2.655770","  0.628098"
"253","  0.699569"," -2.636376","  0.628710"
"254","  0.671909"," -2.630516","  0.632274"
"255","  0.645355"," -2.637050","  0.637973"
"256","  0.619969"," -2.654539","  0.644522"
"257","  0.595590"," -2.681571","  0.650654"
"258","  0.572052"," -2.716893","  0.655410"
"259","  0.549375"," -2.759379","  0.658222"
"260","  0.527829"," -2.807897","  0.658884"
"261","  0.507837"," -2.861170","  0.657440"
"262","  0.489777"," -2.917699","  0.654081"
"263","  0.473828"," -2.975801","  0.649058"
"264","  0.459908"," -3.033717","  0.642641"
"265","  0.447736"," -3.089750","  0.635106"
"266","  0.436940"," -3.142376","  0.626737"
"267","  0.427156"," -3.190314","  0.617818"
"268","  0.418090"," -3.232555","  0.608625"
"269","  0.409539"," -3.268370","  0.599418"
"270","  0.401387"," -3.297297","  0.590429"
"271","  0.393590"," -3.319125","  0.581851"
"272","  0.386155"," -3.333874","  0.573840"
"273","  0.379126"," -3.341765","  0.566515"
"274","  0.372570"," -3.343188","  0.559960"
"275","  0.366565"," -3.338671","  0.554225"
"276","  0.361187"," -3.328847","  0.549335"
"277","  0.356503"," -3.314420","  0.545290"
"278","  0.352562"," -3.296139","  0.542066"
"279","  0.349388"," -3.274766","  0.539615"
"280","  0.346976"," -3.251057","  0.537870"
"281","  0.345295"," -3.225735","  0.536742"
"282","  0.344285"," -3.199478","  0.536124"
"283","  0.343868"," -3.172897","  0.535892"
"284","  0.343943"," -3.146531","  0.535913"
"285","  0.344397"," -3.120833","  0.536047"
"286","  0.345108"," -3.096166","  0.536151"
"287","  0.345952"," -3.072799","  0.536093"
"288","  0.346808"," -3.050914","  0.535753"
"289","  0.347566"," -3.030611","  0.535034"
