"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0"," -0.334890","  1.174164"," -0.425428"
"1"," -0.357616","  1.177063"," -0.451824"
"2"," -0.381572","  1.179555"," -0.479461"
"3"," -0.406836","  1.181447"," -0.508411"
"4"," -0.433480","  1.182541"," -0.538737"
"5"," -0.461569","  1.182647"," -0.570481"
"6"," -0.491156","  1.181580"," -0.603667"
"7"," -0.522275","  1.179165"," -0.638294"
"8"," -0.554941","  1.175242"," -0.674335"
"9"," -0.589143","  1.169660"," -0.711737"
"10"," -0.624844","  1.162287"," -0.750421"
"11"," -0.661979","  1.153004"," -0.790280"
"12"," -0.700455","  1.141715"," -0.831184"
"13"," -0.740153","  1.128348"," -0.872978"
"14"," -0.780931","  1.112861"," -0.915486"
"15"," -0.822626","  1.095244"," -0.958513"
"16"," -0.865061","  1.075519"," -1.001846"
"17"," -0.908050","  1.053748"," -1.045261"
"18"," -0.951402","  1.030026"," -1.088523"
"19"," -0.994935","  1.004485"," -1.131395"
"20"," -1.038479","  0.977292"," -1.173641"
"21"," -1.081885","  0.948636"," -1.215031"
"22"," -1.125030","  0.918724"," -1.255347"
"23"," -1.167824","  0.887769"," -1.294388"
"24"," -1.210209","  0.855982"," -1.331974"
"25"," -1.252162","  0.823556"," -1.367949"
"26"," -1.293689","  0.790659"," -1.402184"
"27"," -1.334828","  0.757425"," -1.434578"
"28"," -1.375639","  0.723949"," -1.465056"
"29"," -1.416203","  0.690278"," -1.493568"
"30"," -1.456615","  0.656416"," -1.520086"
"31"," -1.496979","  0.622324"," -1.544601"
"32"," -1.537396","  0.587923"," -1.567112"
"33"," -1.577956","  0.553108"," -1.587627"
"34"," -1.618729","  0.517760"," -1.606151"
"35"," -1.659757","  0.481750"," -1.622689"
"36"," -1.701048","  0.444957"," -1.637235"
"37"," -1.742571","  0.407271"," -1.649778"
"38"," -1.784254","  0.368599"," -1.660298"
"39"," -1.825978","  0.328870"," -1.668769"
"40"," -1.867579","  0.288033"," -1.675164"
"41"," -1.908848","  0.246058"," -1.679455"
"42"," -1.949537","  0.202932"," -1.681628"
"43"," -1.989361","  0.158655"," -1.681681"
"44"," -2.028009","  0.113239"," -1.679637"
"45"," -2.065150","  0.066702"," -1.675542"
"46"," -2.100444","  0.019074"," -1.669476"
"47"," -2.133559"," -0.029602"," -1.661549"
"48"," -2.164176"," -0.079269"," -1.651903"
"49"," -2.192007"," -0.129851"," -1.640709"
"50"," -2.216809"," -0.181248"," -1.628164"
"51"," -2.238392"," -0.233336"," -1.614483"
"52"," -2.256637"," -0.285961"," -1.599893"
"53"," -2.271495"," -0.338948"," -1.584626"
"54"," -2.282997"," -0.392105"," -1.568908"
"55"," -2.291246"," -0.445227"," -1.552953"
"56"," -2.296407"," -0.498105"," -1.536950"
"57"," -2.298703"," -0.550528"," -1.521063"
"58"," -2.298392"," -0.602291"," -1.505422"
"59"," -2.295755"," -0.653193"," -1.490122"
"60"," -2.291079"," -0.703045"," -1.475227"
"61"," -2.284644"," -0.751671"," -1.460769"
"62"," -2.276709"," -0.798916"," -1.446751"
"63"," -2.267501"," -0.844642"," -1.433152"
"64"," -2.257210"," -0.888735"," -1.419931"
"65"," -2.245984"," -0.931092"," -1.407029"
"66"," -2.233924"," -0.971625"," -1.394376"
"67"," -2.221088"," -1.010247"," -1.381890"
"68"," -2.207493"," -1.046873"," -1.369490"
"69"," -2.193118"," -1.081412"," -1.357092"
"70"," -2.177915"," -1.113772"," -1.344619"
"71"," -2.161813"," -1.143855"," -1.332001"
"72"," -2.144730"," -1.171571"," -1.319185"
"73"," -2.126582"," -1.196836"," -1.306131"
"74"," -2.107289"," -1.219588"," -1.292819"
"75"," -2.086788"," -1.239793"," -1.279247"
"76"," -2.065035"," -1.257460"," -1.265436"
