"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0"," -0.045201","  0.628948"," -0.248441"
"1"," -0.046474","  0.626156"," -0.249140"
"2"," -0.047754","  0.623675"," -0.250013"
"3"," -0.048982","  0.621596"," -0.251071"
"4"," -0.050106","  0.619996"," -0.252318"
"5"," -0.051084","  0.618935"," -0.253755"
"6"," -0.051887","  0.618451"," -0.255380"
"7"," -0.052495","  0.618553"," -0.257182"
"8"," -0.052899","  0.619224"," -0.259141"
"9"," -0.053100","  0.620412"," -0.261230"
"10"," -0.053107","  0.622035"," -0.263413"
"11"," -0.052935","  0.623988"," -0.265649"
"12"," -0.052610","  0.626145"," -0.267898"
"13"," -0.052164","  0.628373"," -0.270122"
"14"," -0.051640","  0.630537"," -0.272292"
"15"," -0.051091","  0.632512"," -0.274391"
"16"," -0.050580","  0.634186"," -0.276409"
"17"," -0.050173","  0.635464"," -0.278354"
"18"," -0.049940","  0.636274"," -0.280239"
"19"," -0.049952","  0.636567"," -0.282089"
"20"," -0.050272","  0.636316"," -0.283937"
"21"," -0.050958","  0.635519"," -0.285821"
"22"," -0.052059","  0.634198"," -0.287781"
"23"," -0.053614","  0.632397"," -0.289864"
"24"," -0.055656","  0.630190"," -0.292119"
"25"," -0.058212","  0.627672"," -0.294595"
"26"," -0.061307","  0.624960"," -0.297349"
"27"," -0.064959","  0.622188"," -0.300435"
"28"," -0.069188","  0.619496"," -0.303909"
"29"," -0.074003","  0.617019"," -0.307826"
"30"," -0.079409","  0.614881"," -0.312232"
"31"," -0.085401","  0.613178"," -0.317165"
"32"," -0.091964","  0.611973"," -0.322648"
"33"," -0.099073","  0.611292"," -0.328688"
"34"," -0.106693","  0.611115"," -0.335274"
"35"," -0.114790","  0.611383"," -0.342378"
"36"," -0.123323","  0.611999"," -0.349957"
"37"," -0.132255","  0.612837"," -0.357956"
"38"," -0.141546","  0.613749"," -0.366312"
"39"," -0.151158","  0.614580"," -0.374959"
"40"," -0.161059","  0.615168"," -0.383836"
"41"," -0.171219","  0.615358"," -0.392885"
"42"," -0.181620","  0.615001"," -0.402060"
"43"," -0.192255","  0.613959"," -0.411329"
"44"," -0.203136","  0.612113"," -0.420675"
"45"," -0.214294","  0.609363"," -0.430096"
"46"," -0.225782","  0.605641"," -0.439606"
"47"," -0.237677","  0.600908"," -0.449233"
"48"," -0.250075","  0.595163"," -0.459014"
"49"," -0.263091","  0.588436"," -0.468997"
"50"," -0.276845","  0.580791"," -0.479232"
"51"," -0.291459","  0.572313"," -0.489771"
"52"," -0.307047","  0.563101"," -0.500659"
"53"," -0.323700","  0.553260"," -0.511934"
"54"," -0.341488","  0.542887"," -0.523620"
"55"," -0.360447","  0.532068"," -0.535725"
"56"," -0.380585","  0.520875"," -0.548240"
"57"," -0.401879","  0.509361"," -0.561137"
"58"," -0.424275","  0.497558"," -0.574372"
"59"," -0.447693","  0.485484"," -0.587888"
"60"," -0.472027","  0.473143"," -0.601610"
"61"," -0.497151","  0.460526"," -0.615457"
"62"," -0.522920","  0.447620"," -0.629340"
"63"," -0.549178","  0.434407"," -0.643167"
"64"," -0.575761","  0.420864"," -0.656846"
"65"," -0.602504","  0.406965"," -0.670288"
"66"," -0.629245","  0.392675"," -0.683410"
"67"," -0.655832","  0.377951"," -0.696138"
"68"," -0.682122","  0.362747"," -0.708408"
"69"," -0.707982","  0.347013"," -0.720163"
"70"," -0.733290","  0.330704"," -0.731361"
"71"," -0.757935","  0.313788"," -0.741970"
"72"," -0.781815","  0.296250"," -0.751969"
"73"," -0.804840","  0.278091"," -0.761349"
"74"," -0.826934","  0.259330"," -0.770107"
"75"," -0.848035","  0.239997"," -0.778250"
"76"," -0.868100","  0.220127"," -0.785790"
"77"," -0.887107","  0.199756"," -0.792746"
"78"," -0.905056","  0.178919"," -0.799145"
"79"," -0.921975","  0.157640"," -0.805024"
"80"," -0.937913","  0.135937"," -0.810431"
"81"," -0.952944","  0.113820"," -0.815423"
"82"," -0.967163","  0.091292"," -0.820065"
"83"," -0.980682","  0.068347"," -0.824425"
"84"," -0.993625","  0.044978"," -0.828571"
"85"," -1.006121","  0.021172"," -0.832565"
"86"," -1.018300"," -0.003088"," -0.836461"
"87"," -1.030283"," -0.027815"," -0.840299"
"88"," -1.042176"," -0.053022"," -0.844105"
"89"," -1.054065"," -0.078713"," -0.847891"
"90"," -1.066010"," -0.104884"," -0.851653"
"91"," -1.078038"," -0.131521"," -0.855371"
"92"," -1.090146"," -0.158595"," -0.859012"
"93"," -1.102292"," -0.186068"," -0.862530"
"94"," -1.114403"," -0.213894"," -0.865865"
"95"," -1.126370"," -0.242016"," -0.868951"
"96"," -1.138053"," -0.270373"," -0.871716"
"97"," -1.149292"," -0.298896"," -0.874087"
"98"," -1.159907"," -0.327512"," -0.875998"
"99"," -1.169713"," -0.356145"," -0.877386"
"100"," -1.178518"," -0.384713"," -0.878203"
"101"," -1.186141"," -0.413136"," -0.878407"
"102"," -1.192410"," -0.441329"," -0.877973"
"103"," -1.197173"," -0.469207"," -0.876886"
"104"," -1.200304"," -0.496683"," -0.875144"
"105"," -1.201709"," -0.523670"," -0.872760"
"106"," -1.201326"," -0.550084"," -0.869757"
"107"," -1.199131"," -0.575850"," -0.866168"
"108"," -1.195139"," -0.600901"," -0.862032"
"109"," -1.189399"," -0.625187"," -0.857394"
"110"," -1.181998"," -0.648670"," -0.852300"
"111"," -1.173053"," -0.671326"," -0.846801"
"112"," -1.162709"," -0.693139"," -0.840947"
"113"," -1.151134"," -0.714095"," -0.834791"
"114"," -1.138517"," -0.734177"," -0.828384"
"115"," -1.125059"," -0.753359"," -0.821781"
"116"," -1.110970"," -0.771603"," -0.815035"
"117"," -1.096458"," -0.788858"," -0.808196"
"118"," -1.081724"," -0.805060"," -0.801309"
"119"," -1.066953"," -0.820136"," -0.794414"
"120"," -1.052306"," -0.834010"," -0.787545"
"121"," -1.037917"," -0.846609"," -0.780728"
"122"," -1.023891"," -0.857876"," -0.773990"
"123"," -1.010307"," -0.867773"," -0.767357"
"124"," -0.997221"," -0.876297"," -0.760859"
"125"," -0.984664"," -0.883478"," -0.754535"
"126"," -0.972655"," -0.889378"," -0.748431"
"127"," -0.961198"," -0.894091"," -0.742606"
"128"," -0.950287"," -0.897736"," -0.737132"
"129"," -0.939913"," -0.900450"," -0.732088"
"130"," -0.930063"," -0.902387"," -0.727560"
"131"," -0.920720"," -0.903709"," -0.723638"
"132"," -0.911867"," -0.904583"," -0.720404"
"133"," -0.903481"," -0.905168"," -0.717930"
"134"," -0.895536"," -0.905613"," -0.716266"
"135"," -0.888000"," -0.906044"," -0.715435"
"136"," -0.880833"," -0.906563"," -0.715423"
"137"," -0.873987"," -0.907248"," -0.716176"
"138"," -0.867407"," -0.908147"," -0.717595"
"139"," -0.861031"," -0.909279"," -0.719539"
"140"," -0.854794"," -0.910634"," -0.721816"
"141"," -0.848629"," -0.912170"," -0.724193"
"142"," -0.842475"," -0.913808"," -0.726391"
"143"," -0.836276"," -0.915429"," -0.728093"
"144"," -0.829994"," -0.916867"," -0.728945"
"145"," -0.823604"," -0.917901"," -0.728564"
"146"," -0.817110"," -0.918251"," -0.726540"
"147"," -0.810537"," -0.917569"," -0.722449"
"148"," -0.803943"," -0.915434"," -0.715851"
"149"," -0.797409"," -0.911348"," -0.706303"
"150"," -0.791039"," -0.904738"," -0.693359"
"151"," -0.784945"," -0.894966"," -0.676583"
"152"," -0.779240"," -0.881345"," -0.655554"
"153"," -0.774014"," -0.863166"," -0.629875"
"154"," -0.769323"," -0.839745"," -0.599194"
"155"," -0.765174"," -0.810467"," -0.563218"
"156"," -0.761513"," -0.774855"," -0.521745"
"157"," -0.758225"," -0.732625"," -0.474689"
"158"," -0.755138"," -0.683750"," -0.422111"
"159"," -0.752031"," -0.628504"," -0.364246"
"160"," -0.748656"," -0.567482"," -0.301526"
"161"," -0.744746"," -0.501602"," -0.234586"
"162"," -0.740030"," -0.432072"," -0.164260"
"163"," -0.734246"," -0.360338"," -0.091563"
"164"," -0.727140"," -0.288005"," -0.017659"
"165"," -0.718481"," -0.216753","  0.056188"
"166"," -0.708059"," -0.148241","  0.128661"
"167"," -0.695711"," -0.084012","  0.198449"
"168"," -0.681339"," -0.025406","  0.264288"
"169"," -0.664949","  0.026528","  0.325010"
"170"," -0.646688","  0.071098","  0.379565"
"171"," -0.626891","  0.108028","  0.427043"
"172"," -0.606111","  0.137499","  0.466669"
"173"," -0.585132","  0.160165","  0.497806"
"174"," -0.564950","  0.177145","  0.519938"
"175"," -0.546711","  0.189985","  0.532668"
"176"," -0.531605","  0.200585","  0.535721"
"177"," -0.520715","  0.211101","  0.528973"
"178"," -0.514829","  0.223813","  0.512497"
"179"," -0.514239","  0.240979","  0.486632"
"180"," -0.518555","  0.264669","  0.452065"
"181"," -0.526572","  0.296612","  0.409888"
"182"," -0.536220","  0.338036","  0.361624"
"183"," -0.544633","  0.389544","  0.309161"
"184"," -0.548353","  0.451010","  0.254612"
"185"," -0.543672","  0.521524","  0.200068"
"186"," -0.527091","  0.599394","  0.147307"
"187"," -0.495841","  0.682220","  0.097512"
"188"," -0.448397","  0.767042","  0.051102"
"189"," -0.384867","  0.850561","  0.007729"
"190"," -0.307154","  0.929394"," -0.033497"
"191"," -0.218804","  1.000342"," -0.073630"
"192"," -0.124551","  1.060624"," -0.113451"
"193"," -0.029640","  1.108063"," -0.153124"
"194","  0.060902","  1.141177"," -0.192053"
