"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0"," -0.760504","  0.352969"," -0.563580"
"1"," -0.759681","  0.353280"," -0.564631"
"2"," -0.758594","  0.353689"," -0.565701"
"3"," -0.757079","  0.354168"," -0.566724"
"4"," -0.754975","  0.354655"," -0.567645"
"5"," -0.752140","  0.355064"," -0.568424"
"6"," -0.748467","  0.355300"," -0.569041"
"7"," -0.743902","  0.355272"," -0.569497"
"8"," -0.738456","  0.354910"," -0.569820"
"9"," -0.732214","  0.354176"," -0.570065"
"10"," -0.725335","  0.353064"," -0.570309"
"11"," -0.718043","  0.351603"," -0.570651"
"12"," -0.710618","  0.349844"," -0.571206"
"13"," -0.703375","  0.347857"," -0.572103"
"14"," -0.696647","  0.345708"," -0.573478"
"15"," -0.690770","  0.343455"," -0.575471"
"16"," -0.686067","  0.341129"," -0.578221"
"17"," -0.682839","  0.338736"," -0.581862"
"18"," -0.681354","  0.336242"," -0.586522"
"19"," -0.681841","  0.333584"," -0.592317"
"20"," -0.684486","  0.330662"," -0.599347"
"21"," -0.689429","  0.327350"," -0.607696"
"22"," -0.696758","  0.323499"," -0.617428"
"23"," -0.706511","  0.318943"," -0.628581"
"24"," -0.718679","  0.313506"," -0.641171"
"25"," -0.733202","  0.307009"," -0.655189"
"26"," -0.749978","  0.299277"," -0.670599"
"27"," -0.768865","  0.290149"," -0.687341"
"28"," -0.789685","  0.279478"," -0.705331"
"29"," -0.812231","  0.267143"," -0.724467"
"30"," -0.836274","  0.253056"," -0.744626"
"31"," -0.861568","  0.237162"," -0.765675"
"32"," -0.887860","  0.219449"," -0.787468"
"33"," -0.914891","  0.199947"," -0.809851"
"34"," -0.942409","  0.178732"," -0.832667"
"35"," -0.970170","  0.155919"," -0.855755"
"36"," -0.997942","  0.131667"," -0.878955"
"37"," -1.025507","  0.106164"," -0.902106"
"38"," -1.052668","  0.079630"," -0.925051"
"39"," -1.079246","  0.052297"," -0.947636"
"40"," -1.105089","  0.024398"," -0.969717"
"41"," -1.130071"," -0.003843"," -0.991161"
"42"," -1.154101"," -0.032231"," -1.011849"
"43"," -1.177125"," -0.060605"," -1.031677"
"44"," -1.199133"," -0.088841"," -1.050559"
"45"," -1.220158"," -0.116856"," -1.068426"
"46"," -1.240277"," -0.144604"," -1.085224"
"47"," -1.259597"," -0.172075"," -1.100917"
"48"," -1.278245"," -0.199283"," -1.115480"
"49"," -1.296355"," -0.226262"," -1.128907"
"50"," -1.314051"," -0.253060"," -1.141202"
"51"," -1.331437"," -0.279731"," -1.152384"
"52"," -1.348587"," -0.306335"," -1.162489"
"53"," -1.365548"," -0.332931"," -1.171563"
"54"," -1.382332"," -0.359591"," -1.179668"
"55"," -1.398928"," -0.386391"," -1.186877"
"56"," -1.415304"," -0.413422"," -1.193271"
"57"," -1.431407"," -0.440789"," -1.198936"
"58"," -1.447173"," -0.468604"," -1.203957"
"59"," -1.462527"," -0.496988"," -1.208417"
"60"," -1.477386"," -0.526067"," -1.212392"
"61"," -1.491667"," -0.555966"," -1.215948"
"62"," -1.505286"," -0.586803"," -1.219140"
"63"," -1.518164"," -0.618688"," -1.222007"
"64"," -1.530223"," -0.651713"," -1.224573"
"65"," -1.541391"," -0.685947"," -1.226848"
"66"," -1.551599"," -0.721423"," -1.228823"
"67"," -1.560784"," -0.758136"," -1.230473"
"68"," -1.568890"," -0.796032"," -1.231757"
"69"," -1.575866"," -0.835006"," -1.232619"
"70"," -1.581672"," -0.874892"," -1.232991"
"71"," -1.586279"," -0.915470"," -1.232791"
"72"," -1.589672"," -0.956468"," -1.231932"
"73"," -1.591855"," -0.997568"," -1.230320"
"74"," -1.592851"," -1.038426"," -1.227870"
"75"," -1.592705"," -1.078684"," -1.224503"
"76"," -1.591484"," -1.117997"," -1.220161"
"77"," -1.589279"," -1.156045"," -1.214810"
"78"," -1.586198"," -1.192551"," -1.208440"
"79"," -1.582363"," -1.227287"," -1.201076"
"80"," -1.577900"," -1.260081"," -1.192769"
"81"," -1.572937"," -1.290811"," -1.183598"
"82"," -1.567590"," -1.319405"," -1.173668"
"83"," -1.561956"," -1.345831"," -1.163099"
"84"," -1.556110"," -1.370091"," -1.152025"
"85"," -1.550092"," -1.392212"," -1.140591"
"86"," -1.543912"," -1.412244"," -1.128941"
"87"," -1.537537"," -1.430251"," -1.117224"
"88"," -1.530893"," -1.446319"," -1.105586"
"89"," -1.523864"," -1.460554"," -1.094170"
"90"," -1.516284"," -1.473092"," -1.083112"
"91"," -1.507945"," -1.484099"," -1.072541"
"92"," -1.498600"," -1.493775"," -1.062574"
"93"," -1.487970"," -1.502358"," -1.053314"
"94"," -1.475760"," -1.510117"," -1.044849"
"95"," -1.461675"," -1.517352"," -1.037251"
"96"," -1.445448"," -1.524378"," -1.030573"
"97"," -1.426861"," -1.531518"," -1.024848"
"98"," -1.405774"," -1.539084"," -1.020090"
"99"," -1.382148"," -1.547360"," -1.016287"
"100"," -1.356061"," -1.556587"," -1.013402"
"101"," -1.327717"," -1.566947"," -1.011363"
"102"," -1.297434"," -1.578546"," -1.010061"
"103"," -1.265636"," -1.591410"," -1.009343"
"104"," -1.232820"," -1.605476"," -1.009009"
"105"," -1.199529"," -1.620599"," -1.008809"
"106"," -1.166313"," -1.636560"," -1.008453"
"107"," -1.133697"," -1.653075"," -1.007615"
"108"," -1.102148"," -1.669806"," -1.005948"
"109"," -1.072062"," -1.686366"," -1.003104"
"110"," -1.043744"," -1.702322"," -0.998751"
"111"," -1.017416"," -1.717200"," -0.992601"
"112"," -0.993220"," -1.730492"," -0.984426"
"113"," -0.971230"," -1.741683"," -0.974080"
"114"," -0.951470"," -1.750280"," -0.961521"
"115"," -0.933918"," -1.755865"," -0.946822"
"116"," -0.918520"," -1.758147"," -0.930175"
"117"," -0.905196"," -1.757011"," -0.911893"
"118"," -0.893838"," -1.752558"," -0.892389"
"119"," -0.884319"," -1.745111"," -0.872158"
"120"," -0.876485"," -1.735214"," -0.851742"
"121"," -0.870150"," -1.723596"," -0.831694"
"122"," -0.865099"," -1.711130"," -0.812545"
"123"," -0.861085"," -1.698772"," -0.794770"
"124"," -0.857845"," -1.687496"," -0.778763"
"125"," -0.855118"," -1.678230"," -0.764815"
"126"," -0.852669"," -1.671806"," -0.753111"
"127"," -0.850314"," -1.668920"," -0.743729"
"128"," -0.847928"," -1.670112"," -0.736646"
"129"," -0.845462"," -1.675762"," -0.731750"
"130"," -0.842931"," -1.686098"," -0.728857"
"131"," -0.840407"," -1.701209"," -0.727721"
