"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0"," -0.241536","  0.980926"," -0.367320"
"1"," -0.229757","  0.984161"," -0.369079"
"2"," -0.218196","  0.987257"," -0.371259"
"3"," -0.207095","  0.990139"," -0.373991"
"4"," -0.196694","  0.992747"," -0.377403"
"5"," -0.187226","  0.995040"," -0.381618"
"6"," -0.178911","  0.996987"," -0.386751"
"7"," -0.171953","  0.998571"," -0.392909"
"8"," -0.166533","  0.999780"," -0.400184"
"9"," -0.162813","  1.000612"," -0.408658"
"10"," -0.160932","  1.001066"," -0.418400"
"11"," -0.161000","  1.001135"," -0.429460"
"12"," -0.163104","  1.000805"," -0.441875"
"13"," -0.167303","  1.000042"," -0.455658"
"14"," -0.173629","  0.998788"," -0.470809"
"15"," -0.182092","  0.996963"," -0.487305"
"16"," -0.192679","  0.994464"," -0.505112"
"17"," -0.205361","  0.991173"," -0.524181"
"18"," -0.220096","  0.986963"," -0.544453"
"19"," -0.236833","  0.981703"," -0.565866"
"20"," -0.255518","  0.975269"," -0.588348"
"21"," -0.276094","  0.967542"," -0.611829"
"22"," -0.298510","  0.958417"," -0.636235"
"23"," -0.322717","  0.947797"," -0.661491"
"24"," -0.348675","  0.935602"," -0.687520"
"25"," -0.376349","  0.921762"," -0.714245"
"26"," -0.405711","  0.906216"," -0.741588"
"27"," -0.436744","  0.888918"," -0.769471"
"28"," -0.469437","  0.869835"," -0.797819"
"29"," -0.503793","  0.848946"," -0.826561"
"30"," -0.539816","  0.826252"," -0.855627"
"31"," -0.577519","  0.801769"," -0.884948"
"32"," -0.616910","  0.775535"," -0.914451"
"33"," -0.657990","  0.747604"," -0.944058"
"34"," -0.700749","  0.718042"," -0.973676"
"35"," -0.745155","  0.686922"," -1.003201"
"36"," -0.791149","  0.654311"," -1.032506"
"37"," -0.838642","  0.620271"," -1.061450"
"38"," -0.887507","  0.584847"," -1.089872"
"39"," -0.937581","  0.548072"," -1.117598"
"40"," -0.988666","  0.509969"," -1.144451"
"41"," -1.040531","  0.470551"," -1.170252"
"42"," -1.092921","  0.429825"," -1.194837"
"43"," -1.145562","  0.387785"," -1.218058"
"44"," -1.198164","  0.344410"," -1.239791"
"45"," -1.250429","  0.299660"," -1.259940"
"46"," -1.302052","  0.253471"," -1.278440"
"47"," -1.352726","  0.205762"," -1.295253"
"48"," -1.402144","  0.156434"," -1.310365"
"49"," -1.450001","  0.105387"," -1.323787"
"50"," -1.496001","  0.052527"," -1.335545"
"51"," -1.539855"," -0.002212"," -1.345675"
"52"," -1.581291"," -0.058860"," -1.354217"
"53"," -1.620051"," -0.117389"," -1.361210"
"54"," -1.655903"," -0.177699"," -1.366683"
"55"," -1.688642"," -0.239608"," -1.370659"
"56"," -1.718091"," -0.302845"," -1.373147"
"57"," -1.744104"," -0.367054"," -1.374148"
"58"," -1.766570"," -0.431797"," -1.373658"
"59"," -1.785406"," -0.496565"," -1.371671"
"60"," -1.800563"," -0.560796"," -1.368184"
"61"," -1.812018"," -0.623887"," -1.363203"
"62"," -1.819774"," -0.685218"," -1.356741"
"63"," -1.823857"," -0.744175"," -1.348826"
"64"," -1.824311"," -0.800173"," -1.339495"
"65"," -1.821197"," -0.852677"," -1.328793"
"66"," -1.814593"," -0.901229"," -1.316773"
"67"," -1.804590"," -0.945457"," -1.303489"
"68"," -1.791295"," -0.985096"," -1.289001"
"69"," -1.774833"," -1.019985"," -1.273367"
"70"," -1.755348"," -1.050081"," -1.256651"
"71"," -1.733008"," -1.075450"," -1.238921"
"72"," -1.708005"," -1.096267"," -1.220251"
"73"," -1.680560"," -1.112806"," -1.200725"
"74"," -1.650922"," -1.125430"," -1.180436"
"75"," -1.619364"," -1.134576"," -1.159490"
"76"," -1.586180"," -1.140735"," -1.138001"
"77"," -1.551678"," -1.144435"," -1.116093"
"78"," -1.516179"," -1.146212"," -1.093895"
"79"," -1.480015"," -1.146592"," -1.071543"
"80"," -1.443521"," -1.146073"," -1.049175"
