"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0"," -0.169384","  0.695705"," -0.157132"
"1"," -0.171427","  0.695948"," -0.160457"
"2"," -0.173645","  0.696379"," -0.164019"
"3"," -0.175989","  0.697009"," -0.167783"
"4"," -0.178406","  0.697825"," -0.171710"
"5"," -0.180840","  0.698791"," -0.175757"
"6"," -0.183235","  0.699847"," -0.179881"
"7"," -0.185537","  0.700914"," -0.184039"
"8"," -0.187695","  0.701898"," -0.188189"
"9"," -0.189667","  0.702696"," -0.192293"
"10"," -0.191419","  0.703204"," -0.196320"
"11"," -0.192930","  0.703325"," -0.200246"
"12"," -0.194191","  0.702978"," -0.204055"
"13"," -0.195209","  0.702106"," -0.207741"
"14"," -0.196001","  0.700678"," -0.211310"
"15"," -0.196601","  0.698701"," -0.214773"
"16"," -0.197055","  0.696217"," -0.218155"
"17"," -0.197419","  0.693302"," -0.221486"
"18"," -0.197767","  0.690067"," -0.224808"
"19"," -0.198180","  0.686648"," -0.228171"
"20"," -0.198754","  0.683203"," -0.231631"
"21"," -0.199595","  0.679898"," -0.235255"
"22"," -0.200818","  0.676899"," -0.239115"
"23"," -0.202546","  0.674363"," -0.243289"
"24"," -0.204901","  0.672422"," -0.247859"
"25"," -0.208008","  0.671177"," -0.252908"
"26"," -0.211980","  0.670690"," -0.258516"
"27"," -0.216920","  0.670972"," -0.264763"
"28"," -0.222911","  0.671982"," -0.271720"
"29"," -0.230014","  0.673624"," -0.279451"
"30"," -0.238259","  0.675747"," -0.288011"
"31"," -0.247649","  0.678151"," -0.297439"
"32"," -0.258152","  0.680594"," -0.307768"
"33"," -0.269709","  0.682806"," -0.319015"
"34"," -0.282238","  0.684499"," -0.331191"
"35"," -0.295641","  0.685384"," -0.344301"
"36"," -0.309819","  0.685183"," -0.358346"
"37"," -0.324679","  0.683648"," -0.373330"
"38"," -0.340145","  0.680566"," -0.389262"
"39"," -0.356171","  0.675769"," -0.406161"
"40"," -0.372745","  0.669141"," -0.424057"
"41"," -0.389893","  0.660614"," -0.442991"
"42"," -0.407681","  0.650174"," -0.463020"
"43"," -0.426216","  0.637851"," -0.484213"
"44"," -0.445638","  0.623719"," -0.506650"
"45"," -0.466123","  0.607883"," -0.530415"
"46"," -0.487866","  0.590473"," -0.555591"
"47"," -0.511081","  0.571627"," -0.582256"
"48"," -0.535986","  0.551475"," -0.610466"
"49"," -0.562794","  0.530126"," -0.640253"
"50"," -0.591701","  0.507655"," -0.671614"
