"Frame","L5S1_MOMENT","",""
"Index","X","Y","Z"
"0","  0.089601","  0.808615"," -0.022394"
"1","  0.065648","  0.803564"," -0.039923"
"2","  0.041100","  0.798749"," -0.057791"
"3","  0.016075","  0.794262"," -0.075904"
"4"," -0.009309","  0.790178"," -0.094172"
"5"," -0.034934","  0.786546"," -0.112507"
"6"," -0.060684","  0.783387"," -0.130827"
"7"," -0.086445","  0.780693"," -0.149058"
"8"," -0.112109","  0.778428"," -0.167132"
"9"," -0.137577","  0.776532"," -0.184996"
"10"," -0.162763","  0.774935"," -0.202607"
"11"," -0.187601","  0.773554"," -0.219939"
"12"," -0.212046","  0.772311"," -0.236983"
"13"," -0.236078","  0.771126"," -0.253746"
"14"," -0.259703","  0.769927"," -0.270256"
"15"," -0.282953","  0.768641"," -0.286555"
"16"," -0.305887","  0.767202"," -0.302705"
"17"," -0.328586","  0.765541"," -0.318780"
"18"," -0.351158","  0.763590"," -0.334866"
"19"," -0.373725","  0.761277"," -0.351060"
"20"," -0.396427","  0.758527"," -0.367460"
"21"," -0.419415","  0.755254"," -0.384167"
"22"," -0.442841","  0.751366"," -0.401281"
"23"," -0.466856","  0.746759"," -0.418895"
"24"," -0.491601","  0.741327"," -0.437094"
"25"," -0.517204","  0.734959"," -0.455948"
"26"," -0.543773","  0.727556"," -0.475514"
"27"," -0.571401","  0.719035"," -0.495828"
"28"," -0.600155","  0.709342"," -0.516905"
"29"," -0.630082","  0.698459"," -0.538738"
"30"," -0.661207","  0.686409"," -0.561297"
"31"," -0.693528","  0.673257"," -0.584528"
"32"," -0.727017","  0.659102"," -0.608357"
"33"," -0.761620","  0.644070"," -0.632688"
"34"," -0.797254","  0.628300"," -0.657414"
"35"," -0.833808","  0.611931"," -0.682415"
"36"," -0.871151","  0.595093"," -0.707563"
"37"," -0.909129","  0.577898"," -0.732732"
"38"," -0.947580","  0.560437"," -0.757799"
"39"," -0.986337","  0.542769"," -0.782653"
"40"," -1.025236","  0.524926"," -0.807194"
"41"," -1.064124","  0.506907"," -0.831342"
"42"," -1.102859","  0.488683"," -0.855032"
"43"," -1.141318","  0.470198"," -0.878218"
"44"," -1.179394","  0.451373"," -0.900869"
"45"," -1.216996","  0.432111"," -0.922966"
"46"," -1.254055","  0.412297"," -0.944502"
"47"," -1.290515","  0.391807"," -0.965475"
"48"," -1.326334","  0.370512"," -0.985889"
"49"," -1.361477","  0.348284"," -1.005744"
"50"," -1.395916","  0.325001"," -1.025039"
"51"," -1.429617","  0.300562"," -1.043767"
"52"," -1.462547","  0.274883"," -1.061908"
"53"," -1.494663","  0.247914"," -1.079435"
"54"," -1.525921","  0.219635"," -1.096309"
"55"," -1.556269","  0.190061"," -1.112482"
"56"," -1.585655","  0.159241"," -1.127894"
"57"," -1.614026","  0.127255"," -1.142482"
"58"," -1.641331","  0.094212"," -1.156177"
"59"," -1.667527","  0.060240"," -1.168906"
"60"," -1.692571","  0.025482"," -1.180603"
"61"," -1.716426"," -0.009910"," -1.191204"
"62"," -1.739055"," -0.045787"," -1.200654"
"63"," -1.760424"," -0.082004"," -1.208911"
"64"," -1.780492"," -0.118424"," -1.215950"
"65"," -1.799216"," -0.154922"," -1.221759"
"66"," -1.816548"," -0.191379"," -1.226343"
"67"," -1.832432"," -0.227687"," -1.229723"
"68"," -1.846806"," -0.263751"," -1.231928"
"69"," -1.859602"," -0.299488"," -1.232998"
"70"," -1.870749"," -0.334834"," -1.232978"
"71"," -1.880169"," -0.369741"," -1.231912"
"72"," -1.887780"," -0.404174"," -1.229844"
"73"," -1.893499"," -0.438106"," -1.226808"
"74"," -1.897239"," -0.471509"," -1.222835"
"75"," -1.898917"," -0.504346"," -1.217943"
"76"," -1.898454"," -0.536564"," -1.212144"
"77"," -1.895783"," -0.568093"," -1.205445"
"78"," -1.890858"," -0.598839"," -1.197852"
"79"," -1.883654"," -0.628690"," -1.189369"
"80"," -1.874180"," -0.657524"," -1.180013"
"81"," -1.862477"," -0.685212"," -1.169808"
"82"," -1.848619"," -0.711629"," -1.158791"
"83"," -1.832709"," -0.736663"," -1.147012"
"84"," -1.814876"," -0.760218"," -1.134536"
"85"," -1.795268"," -0.782220"," -1.121436"
"86"," -1.774047"," -0.802620"," -1.107794"
"87"," -1.751381"," -0.821394"," -1.093697"
"88"," -1.727443"," -0.838540"," -1.079231"
"89"," -1.702401"," -0.854073"," -1.064485"
"90"," -1.676419"," -0.868027"," -1.049540"
"91"," -1.649650"," -0.880452"," -1.034470"
"92"," -1.622235"," -0.891407"," -1.019343"
"93"," -1.594301"," -0.900962"," -1.004216"
"94"," -1.565962"," -0.909196"," -0.989136"
"95"," -1.537320"," -0.916190"," -0.974137"
"96"," -1.508470"," -0.922026"," -0.959247"
"97"," -1.479497"," -0.926787"," -0.944483"
"98"," -1.450484"," -0.930546"," -0.929854"
"99"," -1.421510"," -0.933369"," -0.915366"
"100"," -1.392652"," -0.935309"," -0.901019"
